"original","perturbed"
"3C1,3AR0","3C1,3AR0"
"3B0,3A1","3B0,3A1"
"3BS1,4I0,3AL0","3BS1,4I1,3F1"
"3D1,3B0","3D0"
"3C1,3E0","3C1,3E0"
"3B1,4Q1","3B0,3A1"
"4Q1","4Q0,3Z1"
"3V1,4G1","3V1,4G1"
"4Q1,1M1","4Q0,3C1,3V1,2BG1"
"3B1,4Q1","3B1,4Q1"
"3B1,4G1","3B1,4G1"
"4I1","4I0,3AT1,3AL0"
"4Q1,3E1","4Q0,3N1"
"4AP1,1Y1","4AP1,1Y1"
"3B1,4G1","3B1,4G1"
"3B1,3E1","3B1,3E1"
"3AW1,4G1","3AW1,4G0,2BV1"
"4Q1,1M1","4Q1,1M1"
"3B1","3B0,3C1"
"3B1,4G1","3B0,3A1"
"3AR1,4Q1","3AR0,3N1"
"3J1","3J1"
"4G1","4G1"
"3E1","3E0,3BS1"
"3V1,2BW0","3V1,2BW0"
"4I1,4G1","4I1,4G1"
"3E1,2BM1","3E0,3N1"
"4AP1","4AP1"
"4G1,3E1","4G0,3N1"
"4Q1","4Q1"
"3J1","3J1"
"4I1","4I1"
"3B1,4G1,3E1","3B1,4G1,3E1"
"3B1,4Q1","3B0,3C1"
"3B1,3X1","3B1,3X1"
"3E1","3E1"
"3B1,4Q1","3B1,4Q1"
"3AR1,3V1","3AR1,3V0,2BY0"
"3B1","3B1"
"4BZ1,3F1","4BZ1,3F1"
"3B1","3B1"
"3V1","3V0,3W1"
"3E1,4G1","3E1,4G0,4R1"
"4I1,4G1","4I1,4G1"
"3B1,3F1,4Q1","3B1,3F0,1M1,1AN1"
"4I1","4I1"
"4I1","4I1"
"4I1","4I0,3BS1"
"3B1,4I1","3B1,4I1"
"4I1","4I1"
"3E1,1AG1","3E0,3Z1"
"4Q1,1M1","4Q0,3Z1,3V0"
"4I1,3J1","4I1,3J1"
"3CE1,4I1","3CE1,4I1"
"4BF1,4I1","4BF1,4I1"
