"","values.global_bins."
"AH","3241.5"
"AHI","1888"
"AHJ","69.5"
"AHK","97"
"AHL","2172"
"AHM","2395"
"AHN","1946"
"AHO","81"
"AHP","3042.5"
"AHQ","2219.5"
"AHR","1870"
"AHS","19.3"
"AHT","14.3"
"AHU","2245.5"
"AHV","13.6"
"AHW","2832.5"
"AHX","2222.5"
"AHY","2220.5"
"AHZ","2331.5"
"AI","14.5"
"AIJ","2696"
"AIK","60.5"
"AIL","3104.5"
"AIM","3543.5"
"AIN","3185.5"
"AIO","20.45"
"AIP","3576"
"AIQ","3512"
"AIR","4390"
"AIS","3334.5"
"AIT","76"
"AIU","334.5"
"AIV","174.5"
"AIW","4827"
"AIX","2901.5"
"AIY","6"
"AIZ","191.5"
"AJ","305.5"
"AJK","4500.5"
"AJL","2812"
"AJM","3923.5"
"AJN","3417.5"
"AJO","3565.5"
"AJP","107.5"
"AJQ","150.5"
"AJR","3130"
"AJS","20.25"
"AJT","19"
"AJU","4199"
"AJV","3935.5"
"AJW","2737"
"AJX","23.35"
"AJY","19.25"
"AJZ","2719.5"
"AK","303"
"AKL","350.5"
"AKM","2224.5"
"AKN","16.45"
"AKO","2163"
"AKP","3572"
"AKQ","256"
"AKR","2517"
"AKS","148"
"AKT","17.4"
"AKU","16.6"
"AKV","2347.5"
"AKW","3047.5"
"AKX","18.75"
"AKY","231"
"AKZ","124"
"AL","199"
"ALM","17.8"
"ALN","2608.5"
"ALO","2872.5"
"ALP","14.6"
"ALQ","2434.5"
"ALR","14.8"
"ALS","15.7"
"ALT","100"
"ALU","141"
"ALV","3415"
"ALW","3308.5"
"ALX","2829"
"ALY","3838.5"
"ALZ","3112"
"AM","129.5"
"AMN","3145"
"AMO","15.85"
"AMP","3718"
"AMQ","2140.5"
"AMR","115.5"
"AMS","2271.5"
"AMT","102"
"AMU","2240.5"
"AMV","2953.5"
"AMW","2254.5"
"AMX","1875"
"AMY","55.5"
"AMZ","2196"
"AN","4358.5"
"ANO","14.9"
"ANP","2111.5"
"ANQ","2410.5"
"ANR","2261.5"
"ANS","2154"
"ANT","18.6"
"ANU","2690"
"ANV","2526.5"
"ANW","2079.5"
"ANX","15.15"
"ANY","2452"
"ANZ","2228.5"
"AO","4130.5"
"AOP","306"
"AOQ","14.2"
"AOR","161"
"AOS","4030"
"AOT","329"
"AOU","3886"
"AOV","4700"
"AOW","326"
"AOX","4436"
"AOY","123.5"
"AOZ","2766"
"AP","327.5"
"APQ","3439.5"
"APR","80.5"
"APS","3221.5"
"APT","246"
"APU","228"
"APV","3367"
"APW","3320.5"
"APX","3016.5"
"APY","2398"
"APZ","18.55"
"AQ","10.7"
"AQR","1893.5"
"AQS","87"
"AQT","109"
"AQU","19.2"
"AQV","2573.5"
"AQW","69"
"AQX","118"
"AQY","19.95"
"AQZ","1890"
"AR","3727.5"
"ARS","3068"
"ART","240.5"
"ARU","18.7"
"ARV","17.95"
"ARW","2866.5"
"ARX","3618.5"
"ARY","237.5"
"ARZ","3180"
"AS","74.5"
"AST","3527.5"
"ASU","17.45"
"ASV","3897.5"
"ASW","15.05"
"ASX","2920"
"ASY","16.4"
"ASZ","2375"
"AT","71.5"
"ATU","59.5"
"ATV","93"
"ATW","130"
"ATX","103"
"ATY","2116.5"
"ATZ","2127.5"
"AU","9.5"
"AUV","2816.5"
"AUW","2221"
"AUX","13.55"
"AUY","2637.5"
"AUZ","2767.5"
"AV","94.5"
"AVW","4848.5"
"AVX","2732.5"
"AVY","3654.5"
"AVZ","3248.5"
"AW","4352"
"AWX","3535"
"AWY","2297.5"
"AWZ","2882.5"
"AX","4326.5"
"AXY","3313"
"AXZ","14.55"
"AY","3018"
"AYZ","199.5"
"AZ","117.5"
"B","3740"
"BC","13.35"
"BCD","2939.5"
"BCE","12.05"
"BCF","13.45"
"BCG","11.75"
"BCH","375"
"BCI","158.5"
"BCJ","2059.5"
"BCK","18.5"
"BCL","2205"
"BCM","2080"
"BCN","64.5"
"BCO","2967"
"BCP","2315"
"BCQ","95.5"
"BCR","2228"
"BCS","50"
"BCT","16.7"
"BCU","2757"
"BCV","3921"
"BCW","2722.5"
"BCX","4316"
"BCY","4134.5"
"BCZ","328"
"BD","4665.5"
"BDE","3582.5"
"BDF","122.5"
"BDG","3389"
"BDH","183"
"BDI","18.35"
"BDJ","3871.5"
"BDK","21.6"
"BDL","3549.5"
"BDM","143.5"
"BDN","185"
"BDO","4498.5"
"BDP","4418"
"BDQ","4068.5"
"BDR","4352.5"
"BDS","12.6"
"BDT","4395.5"
"BDU","4040"
"BDV","4330"
"BDW","148.5"
"BDX","2212"
"BDY","17.6"
"BDZ","2466.5"
"BE","76.5"
"BEF","2242"
"BEG","2572.5"
"BEH","2195"
"BEI","2754.5"
"BEJ","2654"
"BEK","2355.5"
"BEL","2571"
"BEM","3743"
"BEN","3052.5"
"BEO","2510.5"
"BEP","2156.5"
"BEQ","1909.5"
"BER","2575.5"
"BES","67.5"
"BET","1862.5"
"BEU","2394"
"BEV","17.3"
"BEW","2137.5"
"BEX","2"
"BEY","20.6"
"BEZ","15.3"
"BF","13.1"
"BFG","3147.5"
"BFH","17.85"
"BFI","13.3"
"BFJ","328.5"
"BFK","2744.5"
"BFL","3480"
"BFM","112.5"
"BFN","3514"
"BFO","20.2"
"BFP","14.05"
"BFQ","3440"
"BFR","2864.5"
"BFS","3072.5"
"BFT","15.9"
"BFU","19.05"
"BFV","2699"
"BFW","2867.5"
"BFX","2753.5"
"BFY","3475"
"BFZ","2962"
"BG","73.5"
"BGH","20.85"
"BGI","3255.5"
"BGJ","3444.5"
"BGK","95"
"BGL","3402.5"
"BGM","3254.5"
"BGN","3112.5"
"BGO","3263.5"
"BGP","17.35"
"BGQ","3568"
"BGR","17.5"
"BGS","3892.5"
"BGT","3315"
"BGU","3515"
"BGV","3356"
"BGW","3705.5"
"BGX","2848"
"BGY","3720"
"BGZ","3307.5"
"BH","190"
"BHI","4301.5"
"BHJ","3429"
"BHK","3955"
"BHL","17.55"
"BHM","2175"
"BHN","126.5"
"BHO","110.5"
"BHP","62"
"BHQ","14.85"
"BHR","128"
"BHS","2440.5"
"BHT","2775"
"BHU","2750"
"BHV","2619.5"
"BHW","3176.5"
"BHX","2910"
"BHY","18.05"
"BHZ","2543.5"
"BI","127"
"BIJ","16.85"
"BIK","2906"
"BIL","15.35"
"BIM","4402.5"
"BIN","160"
"BIO","19.4"
"BIP","17.9"
"BIQ","215"
"BIR","3003"
"BIS","3910"
"BIT","3315.5"
"BIU","16.95"
"BIV","2742.5"
"BIW","64"
"BIX","300"
"BIY","3519"
"BIZ","2253.5"
"BJ","4562"
"BJK","11.9"
"BJL","3190.5"
"BJM","3431"
"BJN","3379.5"
"BJO","184.5"
"BJP","2924.5"
"BJQ","15.95"
"BJR","3065"
"BJS","16.65"
"BJT","3632.5"
"BJU","3395.5"
"BJV","3835"
"BJW","3626"
"BJX","4539.5"
"BJY","3980.5"
"BJZ","2827.5"
"BK","3835.5"
"BKL","4019"
"BKM","3409"
"BKN","339"
"BKO","22.65"
"BKP","2102"
"BKQ","2019.5"
"BKR","2027.5"
"BKS","1900"
"BKT","2269"
"BKU","2020"
"BKV","178"
"BKW","2570.5"
"BKX","138.5"
"BKY","2218"
"BKZ","114"
"BL","72.5"
"BLM","2734"
"BLN","2117.5"
"BLO","2152.5"
"BLP","2105"
"BLQ","101"
"BLR","2007.5"
"BLS","2377.5"
"BLT","2735"
"BLU","2632.5"
"BLV","2641.5"
"BLW","1926"
"BLX","2201"
"BLY","217.5"
"BLZ","15.4"
"BM","3989.5"
"BMN","12.95"
"BMO","56.5"
"BMP","2067.5"
"BMQ","62.5"
"BMR","2216.5"
"BMS","65.5"
"BMT","2232.5"
"BMU","2689"
"BMV","2117"
"BMW","2976.5"
"BMX","18.8"
"BMY","125.5"
"BMZ","18.45"
"BN","3027"
"BNO","2051.5"
"BNP","2818"
"BNQ","2468.5"
"BNR","135.5"
"BNS","98"
"BNT","2277.5"
"BNU","2154.5"
"BNV","2460"
"BNW","2080.5"
"BNX","2045"
"BNY","58.5"
"BNZ","53"
"BO","140.5"
"BOP","2625"
"BOQ","2372.5"
"BOR","116.5"
"BOS","2810"
"BOT","2144"
"BOU","1812.5"
"BOV","2057.5"
"BOW","2407.5"
"BOX","2522.5"
"BOY","14.95"
"BOZ","16.05"
"BP","4390.5"
"BPQ","2149.5"
"BPR","2422"
"BPS","15.2"
"BPT","138"
"BPU","3127"
"BPV","2617.5"
"BPW","19.1"
"BPX","2541"
"BPY","2672.5"
"BPZ","2795"
"BQ","75"
"BQR","2226.5"
"BQS","2455"
"BQT","56"
"BQU","2505.5"
"BQV","2527"
"BQW","2124.5"
"BQX","63"
"BQY","2005"
"BQZ","2295"
"BR","420"
"BRS","50.5"
"BRT","16.8"
"BRU","2425"
"BRV","16.9"
"BRW","2777.5"
"BRX","14.65"
"BRY","99.5"
"BRZ","18.15"
"BS","198.5"
"BST","2035"
"BSU","3197.5"
"BSV","13.7"
"BSW","305"
"BSX","3561.5"
"BSY","4016"
"BSZ","3399"
"BT","304.5"
"BTU","2973.5"
"BTV","2162"
"BTW","91"
"BTX","2622.5"
"BTY","2830"
"BTZ","2588"
"BU","4405"
"BUV","2937.5"
"BUW","2537.5"
"BUX","143"
"BUY","2595.5"
"BUZ","2717.5"
"BV","10.5"
"BVW","2962.5"
"BVX","162"
"BVY","2390.5"
"BVZ","1977.5"
"BW","186"
"BWX","1882.5"
"BWY","2084.5"
"BWZ","1970"
"BX","142.5"
"BXY","2087.5"
"BXZ","1987.5"
"BY","4316.5"
"BYZ","17.05"
"BZ","11.5"
"C","75.5"
"CD","3242.5"
"CDE","2335"
"CDF","1994.5"
"CDG","2207.5"
"CDH","2447.5"
"CDI","2763"
"CDJ","22"
"CDK","2442.5"
"CDL","2065"
"CDM","14.4"
"CDN","12.3"
"CDO","2122.5"
"CDP","243.5"
"CDQ","18.65"
"CDR","2803.5"
"CDS","2392.5"
"CDT","2583.5"
"CDU","133"
"CDV","2488"
"CDW","2770"
"CDX","2429.5"
"CDY","63.5"
"CDZ","3862.5"
"CE","185.5"
"CEF","4118"
"CEG","4715.5"
"CEH","4349"
"CEI","4275"
"CEJ","4527.5"
"CEK","355.5"
"CEL","380"
"CEM","2189"
"CEN","3275"
"CEO","23.4"
"CEP","1724.5"
"CEQ","2497.5"
"CER","2230"
"CES","19.75"
"CET","4576"
"CEU","4189"
"CEV","3729.5"
"CEW","22.5"
"CEX","2055"
"CEY","2410"
"CEZ","19.85"
"CF","14.75"
"CFG","3419.5"
"CFH","2892.5"
"CFI","3432"
"CFJ","1952.5"
"CFK","96.75"
"CFL","3971"
"CFM","105.5"
"CFN","142"
"CFO","3080"
"CFP","3385"
"CFQ","2931.5"
"CFR","2776"
"CFS","107"
"CFT","4702"
"CFU","4481"
"CFV","4353.5"
"CFW","55"
"CFX","2567.5"
"CFY","132"
"CFZ","1837.5"
"CG","172.5"
"CGH","48.5"
"CGI","1833.5"
"CGJ","18.85"
"CGK","20.5"
"CGL","3713"
"CGM","2905"
"CGN","2086.5"
"CGO","3760"
"CGP","3500"
"CGQ","2056.5"
"CGR","2292.5"
"CGS","154"
"CGT","18.2"
"CGU","3941"
"CGV","427.5"
"CGW","1922.5"
"CGX","1972.5"
"CGY","3202.5"
"CGZ","2749.5"
"CH","391.5"
"CHI","2422.5"
"CHJ","3312"
"CHK","3387.5"
"CHL","13.05"
"CHM","6.5"
"CHN","2921.5"
"CHO","4122.5"
"CI","159.5"
"CJ","81.5"
"CK","79"
"CL","2336"
"CM","113.5"
"CN","2522"
"CO","84.5"
"CP","3271"
"CQ","13.75"
"CR","2873.5"
"CS","15.1"
"CT","18"
"CU","90"
"CV","93.5"
"CW","80"
"CX","3913.5"
"CY","153.5"
"CZ","3266.5"
"D","17"
"DE","12.8"
"DF","14.1"
"DG","231.5"
"DH","215.5"
"DI","92.5"
"DJ","2214"
"DK","66"
"DL","108.5"
"DM","184"
"DN","111"
"DO","15"
"DP","21.3"
"DQ","17.1"
"DR","3077.5"
"DS","85.5"
"DT","118.5"
"DU","102.5"
"DV","113"
"DW","84"
"DX","3271.5"
"DY","2794"
"DZ","2352.5"
"E","3357.5"
"EF","3.5"
"EG","89.5"
"EH","110"
"EI","1.5"
"EJ","189.5"
"EK","77"
"EL","2577"
"EM","97.25"
"EN","79.5"
"EO","104"
"EP","2219"
"EQ","14.35"
"ER","13.9"
"ES","130.5"
"ET","5.5"
"EU","126"
"EV","2949"
"EW","129"
"EX","4439"
"EY","70.5"
"EZ","212.5"
"F","3434.5"
"FG","3860"
"FH","4365"
"FI","2892"
"FJ","192.5"
"FK","3734"
"FL","99"
"FM","4693"
"FN","16.25"
"FO","92"
"FP","15.75"
"FQ","120.5"
"FR","2215"
"FS","2771"
"FT","2212.5"
"FU","137"
"FV","145.5"
"FW","3037.5"
"FX","2205.5"
"FY","2535.5"
"FZ","114.5"
"G","190.5"
"GH","204"
"GI","3698.5"
"GJ","15.45"
"GK","15.25"
"GL","134.5"
"GM","245"
"GN","189"
"GO","3300"
"GP","3449"
"GQ","17.2"
"GR","3907.5"
"GS","94"
"GT","74"
"GU","2210"
"GV","3687.5"
"GW","16.3"
"GX","12"
"GY","2981.5"
"GZ","3745"
"H","284.5"
"HI","22.05"
"HJ","15.6"
"HK","310"
"HL","167"
"HM","132.5"
"HN","3757"
"HO","4153.5"
"HP","124.5"
"HQ","4730.5"
"HR","177.5"
"HS","3850.5"
"HT","3058.5"
"HU","127.5"
"HV","194"
"HW","182.5"
"HX","254"
"HY","3648"
"HZ","3712.5"
"I","77.5"
"IJ","225"
"IK","3928.5"
"IL","2917"
"IM","4238.5"
"IN","175"
"IO","2927.5"
"IP","72"
"IQ","4605"
"IR","170"
"IS","155"
"IT","96.5"
"IU","3758"
"IV","3199.5"
"IW","2401.5"
"IX","18.3"
"IY","90.5"
"IZ","3649"
"J","13.25"
"JK","5"
"JL","14.25"
"JM","3684"
"JN","17.25"
"JO","3295"
"JP","2192"
"JQ","2299"
"JR","89"
"JS","106"
"JT","2141.5"
"JU","16.15"
"JV","83.5"
"JW","2094"
"JX","82"
"JY","2091"
"JZ","1881"
"K","334"
"KL","1974"
"KM","1995"
"KN","68.5"
"KO","1894"
"KP","59"
"KQ","70"
"KR","2167"
"KS","1910"
"KT","1631"
"KU","1817"
"KV","2222"
"KW","2003"
"KX","65"
"KY","2815"
"KZ","96"
"L","12.25"
"LM","66.5"
"LN","106.5"
"LO","2900"
"LP","2171.5"
"LQ","16"
"LR","106.75"
"LS","3085"
"LT","2209"
"LU","216"
"LV","2250"
"LW","121.5"
"LX","119.5"
"LY","136.5"
"LZ","2287"
"M","11.05"
"MN","83"
"MO","15.65"
"MP","131"
"MQ","3017.5"
"MR","3270"
"MS","2773.5"
"MT","2252.5"
"MU","2767"
"MV","195"
"MW","4204.5"
"MX","136"
"MY","156"
"MZ","4519.5"
"N","11.45"
"NO","3792.5"
"NP","200"
"NQ","4683.5"
"NR","4132"
"NS","134"
"NT","155.5"
"NU","3994"
"NV","375.5"
"NW","3657.5"
"NX","4254.5"
"NY","3782"
"NZ","211.5"
"O","137.5"
"OP","147.5"
"OQ","414.5"
"OR","3522.5"
"OS","4469.5"
"OT","167.5"
"OU","327"
"OV","191"
"OW","281"
"OX","4338.5"
"OY","11.25"
"OZ","86.5"
"P","3541.5"
"PQ","3773"
"PR","101.5"
"PS","4.5"
"PT","4460.5"
"PU","71"
"PV","13.95"
"PW","4296"
"PX","3428.5"
"PY","16.5"
"PZ","133.5"
"Q","97.5"
"QR","4286"
"QS","4727"
"QT","395"
"QU","135"
"QV","4685"
"QW","3550"
"QX","3709.5"
"QY","3916"
"QZ","3827.5"
"R","78"
"RS","2764.5"
"RT","3545.5"
"RU","3113.5"
"RV","122"
"RW","2964.5"
"RX","3753"
"RY","3491.5"
"RZ","15.55"
"S","3195"
"ST","125"
"SU","112"
"SV","115"
"SW","2.5"
"SX","2307.5"
"SY","2305"
"SZ","3260"
"T","3249.5"
"TU","98.5"
"TV","2539"
"TW","91.5"
"TX","170.5"
"TY","3250"
"TZ","109.5"
"U","3280"
"UV","3996"
"UW","4826"
"UX","144"
"UY","3668"
"UZ","4848"
"V","311"
"VW","222.5"
"VX","4678"
"VY","2957.5"
"VZ","3855"
"W","153"
"WX","187.5"
"WY","3931"
"WZ","3237.5"
"X","241"
"XY","311.5"
"XZ","3799"
"Y","4497.5"
"YZ","285.5"
"Z","4089"
