"","values.global_bins."
"CHJ","12.35"
"CHK","122"
"CHL","2798"
"CHM","3050"
"CHN","3042.5"
"CHO","(49)"
"CHP","4523.5"
"CHQ","12.1"
"CHR","3110"
"CHS","(52)"
"CHT","2148.5"
"CHU","14.7"
"CHV","15.05"
"CHW","(71)"
"CHX","4483"
"CHY","1982.5"
"CHZ","2190.5"
"CI","18.9"
"CIJ","(87)"
"CIK","2544"
"CIL","3816.5"
"CIM","2296"
"CIN","3479.5"
"CIO","2861.5"
"CIP","21.35"
"CIQ","2677"
"CIR","214.5"
"CIS","2776"
"CIT","3089.5"
"CIU","3176.5"
"CIV","196.5"
"CIW","6.5"
"CIX","3283"
"CIY","3308.5"
"CIZ","3817"
"CJ","19.35"
"CJK","(14)"
"CJL","284.5"
"CJM","2742.5"
"CJN","163.5"
"CJO","10.85"
"CJP","201.5"
"CJQ","2064.5"
"CJR","3139"
"CJS","3129.5"
"CJT","2868.5"
"CJU","1810"
"CJV","2834"
"CJW","352.5"
"CJX","12.3"
"CJY","3241"
"CJZ","2048"
"CK","136.5"
"CKL","2715.5"
"CKM","2959.5"
"CKN","3971.5"
"CKO","3174.5"
"CKP","2785"
"CKQ","159.5"
"CKR","3439.5"
"CKS","2952.5"
"CKT","2710"
"CKU","4448"
"CKV","4186"
"CKW","202.5"
"CKX","(64)"
"CKY","4555.5"
"CKZ","3112"
"CL","82"
"CLM","2020.5"
"CLN","13.95"
"CLO","4358.5"
"CLP","3555"
"CLQ","2910"
"CLR","3175"
"CLS","2817.5"
"CLT","143"
"CLU","3207"
"CLV","2727.5"
"CLW","2537.5"
"CLX","13.55"
"CLY","2703.5"
"CLZ","3629.5"
"CM","15"
"CMN","381"
"CMO","3954.5"
"CMP","3174"
"CMQ","1957.5"
"CMR","3664.5"
"CMS","3532.5"
"CMT","3576"
"CMU","4401.5"
"CMV","18.6"
"CMW","4598"
"CMX","3738"
"CMY","3130"
"CMZ","3591.5"
"CN","1896.5"
"CNO","14.15"
"CNP","2922.5"
"CNQ","2844"
"CNR","2848.5"
"CNS","97.75"
"CNT","289"
"CNU","2194.5"
"CNV","2339.5"
"CNW","2580"
"CNX","2730"
"CNY","2628.5"
"CNZ","2797.5"
"CO","1812.5"
"COP","2975.5"
"COQ","4848"
"COR","3771"
"COS","2670"
"COT","3885"
"COU","2588.5"
"COV","2080"
"COW","2981.5"
"COX","4300"
"COY","4548.5"
"COZ","12.6"
"CP","2137.5"
"CPQ","2682.5"
"CPR","(79)"
"CPS","3212.5"
"CPT","129"
"CPU","4187"
"CPV","2640"
"CPW","2695"
"CPX","3077.5"
"CPY","3125"
"CPZ","10.25"
"CQ","2892"
"CQR","3586"
"CQS","(74)"
"CQT","164.5"
"CQU","4257"
"CQV","305"
"CQW","(53)"
"CQX","13.3"
"CQY","3975.5"
"CQZ","2172"
"CR","3862.5"
"CRS","2617.5"
"CRT","(58)"
"CRU","2197"
"CRV","17.3"
"CRW","4826"
"CRX","2661"
"CRY","1920"
"CRZ","1862.5"
"CS","3434.5"
"CST","3032"
"CSU","2250"
"CSV","3036"
"CSW","14.8"
"CSX","2555.5"
"CSY","118.75"
"CSZ","19.8"
"CT","79.5"
"CTU","2070"
"CTV","2916.5"
"CTW","292.5"
"CTX","4565.5"
"CTY","4175.5"
"CTZ","2105"
"CU","19.25"
"CUV","2178.5"
"CUW","(89)"
"CUX","3693.5"
"CUY","3014.5"
"CUZ","2292.5"
"CV","101.5"
"CVW","3983"
"CVX","2740"
"CVY","2736.5"
"CVZ","3278.5"
"CW","371.5"
"CWX","4850.5"
"CWY","184.5"
"CWZ","2207.5"
"CX","77.5"
"CXY","3366.5"
"CXZ","2917.5"
"CY","14.75"
"CYZ","1995"
"CZ","126.5"
"D","3578.5"
"DE","105"
"DEF","1856"
"DEG","1947"
"DEH","2324.5"
"DEI","2513"
"DEJ","185.5"
"DEK","184"
"DEL","2552.5"
"DEM","2891"
"DEN","3945"
"DEO","3947"
"DEP","3213"
"DEQ","4339.5"
"DER","3412.5"
"DES","16.15"
"DET","2851.5"
"DEU","4074.5"
"DEV","11.45"
"DEW","3350.5"
"DEX","3475"
"DEY","3389"
"DEZ","2671.5"
"DF","4.5"
"DFG","18.95"
"DFH","1887.5"
"DFI","3649"
"DFJ","4452"
"DFK","16.8"
"DFL","3397.5"
"DFM","373.5"
"DFN","2989"
"DFO","3598.5"
"DFP","(27)"
"DFQ","4199.5"
"DFR","4130.5"
"DFS","199.5"
"DFT","3290.5"
"DFU","19.5"
"DFV","4419"
"DFW","244.5"
"DFX","3015"
"DFY","2900.5"
"DFZ","2378"
"DG","118.5"
"DGH","4297.5"
"DGI","207.5"
"DGJ","3727.5"
"DGK","4007"
"DGL","19.6"
"DGM","3669"
"DGN","1867.5"
"DGO","3517.5"
"DGP","4832.5"
"DGQ","3201.5"
"DGR","3600"
"DGS","3017.5"
"DGT","3387.5"
"DGU","3459.5"
"DGV","3318"
"DGW","3588"
"DGX","4226"
"DGY","3753"
"DGZ","3319"
"DH","88"
"DHI","2178"
"DHJ","2927.5"
"DHK","(16)"
"DHL","390"
"DHM","4090"
"DHN","4224"
"DHO","3515"
"DHP","3964.5"
"DHQ","2413"
"DHR","2156.5"
"DHS","2712"
"DHT","2071.5"
"DHU","2941.5"
"DHV","3230"
"DHW","3558.5"
"DHX","2838.5"
"DHY","2097"
"DHZ","3567"
"DI","2223"
"DIJ","3454"
"DIK","4017"
"DIL","3724.5"
"DIM","2461"
"DIN","(92)"
"DIO","2637"
"DIP","3701"
"DIQ","3282.5"
"DIR","3355"
"DIS","4015"
"DIT","(68)"
"DIU","2195"
"DIV","15.3"
"DIW","4661"
"DIX","2072"
"DIY","3229"
"DIZ","3928.5"
"DJ","121.5"
"DJK","2706.5"
"DJL","2918.5"
"DJM","2780"
"DJN","3640.5"
"DJO","1945"
"DJP","1809"
"DJQ","3973"
"DJR","2409.5"
"DJS","2622.5"
"DJT","11.95"
"DJU","2645.5"
"DJV","3296"
"DJW","4100.5"
"DJX","403"
"DJY","1737"
"DJZ","2007"
"DK","114.5"
"DKL","4043.5"
"DKM","422.5"
"DKN","122.5"
"DKO","3200.5"
"DKP","3062.5"
"DKQ","3907.5"
"DKR","2242"
"DKS","3341.5"
"DKT","2138.5"
"DKU","(94)"
"DKV","3428.5"
"DKW","3775.5"
"DKX","2245"
"DKY","1818"
"DKZ","193"
"DL","2100"
"DLM","3452"
"DLN","3402.5"
"DLO","(11)"
"DLP","3521"
"DLQ","3632.5"
"DLR","(54)"
"DLS","2992.5"
"DLT","3541.5"
"DLU","3947.5"
"DLV","2806.5"
"DLW","2022"
"DLX","(77)"
"DLY","3713.5"
"DLZ","2759.5"
"DM","18.75"
"DMN","2505.5"
"DMO","2796"
"DMP","3433"
"DMQ","4898.5"
"DMR","193.5"
"DMS","(75)"
"DMT","2151"
"DMU","4027.5"
"DMV","4974"
"DMW","3929"
"DMX","3085.5"
"DMY","3276.5"
"DMZ","3410"
"DN","304"
"DNO","3449"
"DNP","2233.5"
"DNQ","4424.5"
"DNR","3141"
"DNS","2764.5"
"DNT","4375.5"
"DNU","4196.5"
"DNV","1990"
"DNW","3457.5"
"DNX","(13)"
"DNY","4707"
"DNZ","3521.5"
"DO","73"
"DOP","2119.5"
"DOQ","3036.5"
"DOR","(30)"
"DOS","422"
"DOT","2407.5"
"DOU","2610"
"DOV","109.25"
"DOW","3383.5"
"DOX","3570"
"DOY","3337.5"
"DOZ","3556.5"
"DP","13.1"
"DPQ","4405"
"DPR","2005"
"DPS","108.25"
"DPT","2591"
"DPU","3420.5"
"DPV","2112"
"DPW","3145.5"
"DPX","3292"
"DPY","2170"
"DPZ","4796.5"
"DQ","4088.5"
"DQR","4509"
"DQS","2660"
"DQT","2795"
"DQU","2511.5"
"DQV","3609"
"DQW","1860"
"DQX","106.75"
"DQY","164"
"DQZ","4536.5"
"DR","4352"
"DRS","2763.5"
"DRT","3039"
"DRU","2419"
"DRV","2539"
"DRW","3311.5"
"DRX","3260"
"DRY","1980"
"DRZ","2568.5"
"DS","3504"
"DST","224"
"DSU","2874"
"DSV","343.5"
"DSW","21.2"
"DSX","386.5"
"DSY","2191.5"
"DSZ","2398"
"DT","12.75"
"DTU","2866.5"
"DTV","22.05"
"DTW","3412"
"DTX","2495"
"DTY","3716"
"DTZ","2865"
"DU","328"
"DUV","3384"
"DUW","3868.5"
"DUX","2962.5"
"DUY","2031.5"
"DUZ","3170"
"DV","211.5"
"DVW","3012"
"DVX","3680"
"DVY","3547.5"
"DVZ","2086.5"
"DW","176.5"
"DWX","1955"
"DWY","3430"
"DWZ","12.05"
"DX","75.5"
"DXY","2675"
"DXZ","4458"
"DY","128"
"DYZ","4178"
"DZ","93.5"
"E","(35)"
"EF","116"
"EFG","2372.5"
"EFH","3300"
"EFI","3399.5"
"EFJ","4286"
"EFK","420"
"EFL","370"
"EFM","21.4"
"EFN","345.5"
"EFO","2561"
"EFP","(3)"
"EFQ","2754.5"
"EFR","2974.5"
"EFS","2720.5"
"EFT","2837.5"
"EFU","2292"
"EFV","96.75"
"EFW","2723.5"
"EFX","3527.5"
"EFY","(7)"
"EFZ","2038.5"
"EG","3572"
"EGH","2145"
"EGI","3911"
"EGJ","2867"
"EGK","2189.5"
"EGL","3583.5"
"EGM","3180"
"EGN","378.5"
"EGO","3273.5"
"EGP","4353.5"
"EGQ","4403.5"
"EGR","2912"
"EGS","4576"
"EGT","378"
"EGU","14.05"
"EGV","407.5"
"EGW","3843.5"
"EGX","2220"
"EGY","2215"
"EGZ","(65)"
"EH","228"
"EHI","2206.5"
"EHJ","3657.5"
"EHK","2840.5"
"EHL","242.5"
"EHM","(56)"
"EHN","2961"
"EHO","4136"
"EHP","4198.5"
"EHQ","3587"
"EHR","181"
"EHS","4022"
"EHT","4289"
"EHU","2740.5"
"EHV","2869.5"
"EHW","4381.5"
"EHX","2653"
"EHY","20.8"
"EHZ","1989"
"EI","334.5"
"EIJ","282"
"EIK","411.5"
"EIL","2375.5"
"EIM","2097.5"
"EIN","109.75"
"EIO","3042"
"EIP","3761"
"EIQ","4581.5"
"EIR","3489.5"
"EIS","4112"
"EIT","4585.5"
"EIU","3445"
"EIV","123"
"EIW","2144.5"
"EIX","2707.5"
"EIY","3772.5"
"EIZ","4730.5"
"EJ","4681.5"
"EJK","4365"
"EJL","3227"
"EJM","4355.5"
"EJN","353.5"
"EJO","4662.5"
"EJP","2934.5"
"EJQ","3192"
"EJR","150.5"
"EJS","19"
"EJT","2741.5"
"EJU","2939"
"EJV","4297"
"EJW","2350.5"
"EJX","2577"
"EJY","3431.5"
"EJZ","3097"
"EK","4976"
"EKL","3208.5"
"EKM","1893.5"
"EKN","1960"
"EKO","2350"
"EKP","2385.5"
"EKQ","20.75"
"EKR","2618"
"EKS","(28)"
"EKT","4048"
"EKU","172"
"EKV","2391.5"
"EKW","3618.5"
"EKX","2067.5"
"EKY","2347.5"
"EKZ","3020"
"EL","16.5"
"ELM","3404.5"
"ELN","2264.5"
"ELO","4030"
"ELP","(85)"
"ELQ","4295.5"
"ELR","3069"
"ELS","3612.5"
"ELT","2017.5"
"ELU","(60)"
"ELV","2135"
"ELW","4147"
"ELX","2553.5"
"ELY","2800.5"
"ELZ","2595"
"EM","1987.5"
"EMN","2694.5"
"EMO","2624.5"
"EMP","3429"
"EMQ","3315"
"EMR","3471.5"
"EMS","2962"
"EMT","2379"
"EMU","134.5"
"EMV","3665"
"EMW","3147.5"
"EMX","2938"
"EMY","2768.5"
"EMZ","2932.5"
"EN","96"
"ENO","4402.5"
"ENP","3853"
"ENQ","3420"
"ENR","3390"
"ENS","2312.5"
"ENT","1907.5"
"ENU","384.5"
"ENV","3745"
"ENW","3250"
"ENX","(51)"
"ENY","2192"
"ENZ","3112.5"
"EO","139"
"EOP","(63)"
"EOQ","2062.5"
"EOR","2931"
"EOS","1829.5"
"EOT","2500"
"EOU","21.3"
"EOV","3609.5"
"EOW","3372.5"
"EOX","1890"
"EOY","3729.5"
"EOZ","4825.5"
"EP","97.5"
"EPQ","3985"
"EPR","216.5"
"EPS","4350.5"
"EPT","3489"
"EPU","2112.5"
"EPV","4318.5"
"EPW","3205"
"EPX","19.95"
"EPY","3419.5"
"EPZ","4422"
"EQ","5.5"
"EQR","3207.5"
"EQS","(23)"
"EQT","2745"
"EQU","3777.5"
"EQV","2282"
"EQW","111"
"EQX","2052"
"EQY","1790"
"EQZ","3423"
"ER","78.5"
"ERS","2481"
"ERT","4217.5"
"ERU","2309"
"ERV","2592.5"
"ERW","2182"
"ERX","2671"
"ERY","3747.5"
"ERZ","134"
"ES","4079"
"EST","2602.5"
"ESU","2442.5"
"ESV","1846"
"ESW","3440"
"ESX","4849"
"ESY","4189"
"ESZ","147.5"
"ET","16.75"
"ETU","3103"
"ETV","3464.5"
"ETW","3802.5"
"ETX","3092"
"ETY","3628"
"ETZ","4347.5"
"EU","71.5"
"EUV","154"
"EUW","3427.5"
"EUX","2571.5"
"EUY","3766"
"EUZ","402"
"EV","4802"
"EVW","4329"
"EVX","3149"
"EVY","4566"
"EVZ","4669"
"EW","80.5"
"EWX","243.5"
"EWY","4202.5"
"EWZ","2816.5"
"EX","14.35"
"EXY","19.45"
"EXZ","4110"
"EY","137"
"EYZ","3662.5"
"EZ","120"
"F","254"
"FG","94"
"FGH","1851"
"FGI","2120"
"FGJ","18.65"
"FGK","2852.5"
"FGL","2575.5"
"FGM","2705"
"FGN","2321.5"
"FGO","3138"
"FGP","3469.5"
"FGQ","3264.5"
"FGR","3610"
"FGS","2667.5"
"FGT","2828.5"
"FGU","4147.5"
"FGV","3582.5"
"FGW","4380"
"FGX","4122"
"FGY","3498"
"FGZ","(4)"
"FH","2210"
"FHI","4034.5"
"FHJ","(15)"
