"","values.global_bins."
"AJ","42.5"
"AJK","194348"
"AJL","345466.5"
"AJM","50158"
"AJN","167731.5"
"AJO","43076.5"
"AJP","28970.5"
"AJQ","62"
"AJR","245901.5"
"AJS","4141"
"AJT","197720"
"AJU","131387"
"AJV","(18)"
"AJW","197401.5"
"AJX","43866.5"
"AJY","97468.5"
"AJZ","292401.5"
"AK","4030"
"AKL","252578.5"
"AKM","93400"
"AKN","(29)"
"AKO","149843"
"AKP","312930"
"AKQ","108480.5"
"AKR","(32)"
"AKS","111098.5"
"AKT","89650.5"
"AKU","511426.5"
"AKV","110558"
"AKW","75001.5"
"AKX","61967.5"
"AKY","(35)"
"AKZ","98504.5"
"AL","1621"
"ALM","63.5"
"ALN","6169"
"ALO","132680"
"ALP","9349"
"ALQ","179156"
"ALR","91228.5"
"ALS","94554.5"
"ALT","214558"
"ALU","253398"
"ALV","180610.5"
"ALW","94145"
"ALX","25"
"ALY","109347"
"ALZ","225202.5"
"AM","(8)"
"AMN","459246"
"AMO","179054.5"
"AMP","6813.5"
"AMQ","1703"
"AMR","178064.5"
"AMS","128437.5"
"AMT","146122"
"AMU","236769.5"
"AMV","121569.5"
"AMW","204814"
"AMX","146538.5"
"AMY","1207.5"
"AMZ","81338"
"AN","(16)"
"ANO","186604"
"ANP","91489.5"
"ANQ","51386"
"ANR","150101"
"ANS","8743.5"
"ANT","84931"
"ANU","61555.5"
"ANV","293243.5"
"ANW","283972"
"ANX","195349"
"ANY","246253"
"ANZ","235254"
"AO","5842"
"AOP","100360.5"
"AOQ","421889.5"
"AP","(4)"
"AQ","5311.5"
"AR","50"
"AS","51.5"
"AT","3792.5"
"AU","4782"
"AV","2078"
"AW","87"
"AX","59"
"AY","26223.5"
"AZ","46"
"B","(40)"
"BC","5486"
"BD","47.5"
"BE","8130"
"BF","2299"
"BG","193894"
"BH","5538.5"
"BI","47"
"BJ","1896.5"
"BK","52.5"
"BL","59.5"
"BM","(17)"
"BN","46.5"
"BO","36"
"BP","44490"
"BQ","1851.5"
"BR","53.5"
"BS","(34)"
"BT","46042"
"BU","384704"
"BV","8403.5"
"BW","79.5"
"BX","6350.5"
"BY","1810.5"
"BZ","42"
"C","4225"
"CD","45.5"
"CE","782"
"CF","2193"
"CG","244105"
"CH","8260"
"CI","7268.5"
"CJ","186685.5"
"CK","951"
"CL","1472"
"CM","106345.5"
"CN","296733"
"CO","1551.5"
"CP","24255.5"
"CQ","33.5"
"CR","256233"
"CS","77779"
"CT","57.5"
"CU","2589"
"CV","32.5"
"CW","541376"
"CX","7172"
"CY","52"
"CZ","49"
"D","37.5"
"DE","38.5"
"DF","1738.5"
"DG","97142"
"DH","58"
"DI","28.5"
"DJ","48"
"DK","291675"
"DL","4251.5"
"DM","44.5"
"DN","56.5"
"DO","33"
"DP","182985"
"DQ","1950"
"DR","65"
"DS","3844"
"DT","177756"
"DU","3855.5"
"DV","53689.5"
"DW","5894.5"
"DX","118408"
"DY","9367"
"DZ","30500.5"
"E","(1)"
"EF","30.5"
"EG","34124"
"EH","4243.5"
"EI","341681.5"
"EJ","96714"
"EK","30968.5"
"EL","29.5"
"EM","(21)"
"EN","169993.5"
"EO","5681"
"EP","1869.5"
"EQ","213494"
"ER","1534"
"ES","53"
"ET","4639.5"
"EU","2228.5"
"EV","70"
"EW","40"
"EX","57701"
"EY","7699.5"
"EZ","4621"
"F","(12)"
"FG","133515.5"
"FH","1848.5"
"FI","4737"
"FJ","12.5"
"FK","32"
"FL","49.5"
"FM","2079"
"FN","177785"
"FO","31.5"
"FP","5394"
"FQ","54.5"
"FR","6037"
"FS","13.5"
"FT","1821.5"
"FU","72257.5"
"FV","166210"
"FW","34289.5"
"FX","3676"
"FY","154550"
"FZ","506226.5"
"G","(7)"
"GH","24"
"GI","3033.5"
"GJ","29823"
"GK","183894"
"GL","1196"
"GM","9247.5"
"GN","1848"
"GO","244604.5"
"GP","191847"
"GQ","96974.5"
"GR","2490"
"GS","1486"
"GT","57"
"GU","3649"
"GV","58.5"
"GW","3396.5"
"GX","2755"
"GY","41.5"
"GZ","23946"
"H","1693.5"
"HI","2886"
"HJ","1811.5"
"HK","40.5"
"HL","33923.5"
"HM","214100.5"
"HN","226440"
"HO","1859"
"HP","66571"
"HQ","406478"
"HR","1452"
"HS","326.5"
"HT","1803"
"HU","9837"
"HV","43982"
"HW","10.5"
"HX","92300.5"
"HY","28"
"HZ","112485.5"
"I","(5)"
"IJ","42210"
"IK","8197"
"IL","244846.5"
"IM","48.5"
"IN","5047.5"
"IO","4604"
"IP","41"
"IQ","37881"
"IR","6357.5"
"IS","5699.5"
"IT","364384"
"IU","5131"
"IV","203230"
"IW","3281"
"IX","87031"
"IY","2897.5"
"IZ","2088.5"
"J","(11)"
"JK","62.5"
"JL","589470.5"
"JM","943.5"
"JN","9222.5"
"JO","4939"
"JP","289798"
"JQ","5134"
"JR","13849.5"
"JS","38877.5"
"JT","202253.5"
"JU","4426"
"JV","4852.5"
"JW","67.5"
"JX","2145.5"
"JY","5302.5"
"JZ","534789"
"K","(10)"
"KL","3280"
"KM","616455"
"KN","82"
"KO","27"
"KP","58468.5"
"KQ","35.5"
"KR","4932"
"KS","156727.5"
"KT","325763"
"KU","1823"
"KV","43.5"
"KW","103880.5"
"KX","3675"
"KY","1881.5"
"KZ","2383.5"
"L","43"
"LM","76"
"LN","207757.5"
"LO","66.5"
"LP","25.5"
"LQ","34"
"LR","29853.5"
"LS","5876"
"LT","5384.5"
"LU","2310.5"
"LV","399203"
"LW","37"
"LX","7073.5"
"LY","335731.5"
"LZ","38989.5"
"M","(6)"
"MN","39360.5"
"MO","26"
"MP","2720.5"
"MQ","3820.5"
"MR","32943.5"
"MS","7512"
"MT","1783.5"
"MU","50.5"
"MV","222220"
"MW","11.5"
"MX","2841.5"
"MY","5974"
"MZ","201173"
"N","3491.5"
"NO","31134.5"
"NP","160664"
"NQ","112356"
"NR","5326"
"NS","988.5"
"NT","3218"
"NU","51"
"NV","189544"
"NW","3928.5"
"NX","2067"
"NY","27047.5"
"NZ","61297.5"
"O","6155.5"
"OP","237227"
"OQ","326146.5"
"OR","3898.5"
"OS","4307"
"OT","4947.5"
"OU","4294.5"
"OV","1832"
"OW","58068.5"
"OX","18"
"OY","42119"
"OZ","89630"
"P","(9)"
"PQ","2256"
"PR","4324.5"
"PS","51071"
"PT","2043.5"
"PU","195748.5"
"PV","10466.5"
"PW","95450.5"
"PX","341707"
"PY","204276.5"
"PZ","2506.5"
"Q","(3)"
"QR","26465.5"
"QS","238768.5"
"QT","2850"
"QU","64"
"QV","175548.5"
"QW","30629"
"QX","112810"
"QY","45321"
"QZ","194892.5"
"R","55"
"RS","14455"
"RT","3116.5"
"RU","34357.5"
"RV","30830.5"
"RW","2783"
"RX","74"
"RY","29"
"RZ","77416"
"S","4736"
"ST","9544"
"SU","3946"
"SV","1785.5"
"SW","146168"
"SX","343898"
"SY","3614"
"SZ","54961.5"
"T","5095.5"
"TU","56"
"TV","89.5"
"TW","2104"
"TX","(33)"
"TY","195221.5"
"TZ","1655"
"U","77.5"
"UV","1647.5"
"UW","85.5"
"UX","1804"
"UY","7469"
"UZ","38"
"V","7042"
"VW","5605.5"
"VX","652993"
"VY","49257"
"VZ","9217.5"
"W","36.5"
"WX","1900"
"WY","115210"
"WZ","217037.5"
"X","(15)"
"XY","271185.5"
"XZ","98.5"
"Y","(27)"
"YZ","159137"
"Z","4071"
