"","x"
"PS","33295.5"
"PT","33328.5"
"PU","33418"
"PV","33680"
"PW","33731"
"PX","33995"
"PY","34096"
"PZ","34202"
"QR","34518"
"QS","34610"
"QT","34711"
"QU","34752.5"
"QV","34800"
"QW","35332.5"
"QX","35624.5"
"QY","35840"
"QZ","36492"
"RS","36616"
"RT","36727.5"
"RU","37063.5"
"RV","37153.5"
"RW","37255.5"
"RX","37925"
"RY","37926"
"RZ","38250"
"ST","38437.5"
"SU","38646"
"SV","38663.5"
"SW","39075"
"SX","39107"
"SY","39206.5"
"SZ","39529.5"
"TU","40187.5"
"TV","40265"
"TW","40531.5"
"TX","41019"
"TY","41182"
"TZ","41644.5"
"UV","42130.5"
"UW","42283.5"
"UX","42598"
"UY","43328"
"UZ","43787"
"VW","43826"
"VX","43925.5"
"VY","44083.5"
"VZ","44599.5"
"WX","44931.5"
"WY","45154.5"
"WZ","45327.5"
"XY","46936"
"XZ","48139"
"YZ","48969"
"ABC","49290.5"
"ABD","49446"
"ABE","50060"
"ABF","50379.5"
"ABG","51800"
"ABH","54082"
"ABI","54563.5"
"ABJ","55265.5"
"ABK","55452"
"ABL","55734"
"ABM","55937.5"
"ABN","56305"
"ABO","56691.5"
"ABP","56822"
"ABQ","56822.5"
"ABR","56925"
"ABS","57146.5"
"ABT","57425"
"ABU","58397.5"
"ABV","58800"
"ABW","59043.5"
"ABX","59690"
"ABY","59792"
"ABZ","60386"
"ACD","60386.5"
"ACE","61081.5"
"ACF","61532.5"
"ACG","62698"
"ACH","62938"
"ACI","63199.5"
"ACJ","63718"
"ACK","63725.5"
"ACL","64596"
"ACM","64871"
"ACN","65028.5"
"ACO","65293"
"ACP","65958"
"ACQ","66297.5"
"ACR","66650"
"ACS","67368"
"ACT","68085.5"
"ACU","68114.5"
"ACV","68201.5"
"ACW","68739"
"ACX","68851.5"
"ACY","69097"
"ACZ","69391"
"ADE","69783.5"
"ADF","70240.5"
"ADG","70253.5"
"ADH","71047.5"
"ADI","71133"
"ADJ","71758"
"ADK","71829"
"ADL","71987.5"
"ADM","71988.5"
"ADN","73669"
"ADO","74106"
"ADP","74229"
"ADQ","74576.5"
"ADR","74703"
"ADS","76943"
"ADT","76945.5"
"ADU","77416.5"
"ADV","77517"
"ADW","78181"
"ADX","78254.5"
"ADY","78370"
"ADZ","78555"
"AEF","78832"
"AEG","79284.5"
"AEH","79427.5"
"AEI","79884.5"
"AEJ","79962.5"
"AEK","79976"
"AEL","80116"
"AEM","80464.5"
"AEN","81187.5"
"AEO","81202.5"
"AEP","81209"
"AEQ","81291.5"
"AER","81410.5"
"AES","81847"
"AET","81962"
"AEU","82208.5"
"AEV","82536"
"AEW","83361"
"AEX","83959"
"AEY","84093"
"AEZ","84441.5"
"AFG","84563.5"
"AFH","85065.5"
"AFI","85614"
"AFJ","85958"
"AFK","85964.5"
"AFL","86358"
"AFM","86752.5"
"AFN","86855"
"AFO","87061"
"AFP","87299"
"AFQ","87447.5"
"AFR","88081.5"
"AFS","88724"
"AFT","88794.5"
"AFU","88970"
"AFV","89037"
"AFW","89043.5"
"AFX","90216.5"
"AFY","90398"
"AFZ","91102.5"
"AGH","91403.5"
"AGI","92117"
"AGJ","92539"
"AGK","93191.5"
"AGL","93259.5"
"AGM","93495"
"AGN","93596.5"
"AGO","93646"
"AGP","93799.5"
"AGQ","94024.5"
"AGR","94158"
"AGS","94274"
"AGT","94676.5"
"AGU","94798.5"
"AGV","95439.5"
"AGW","95539"
"AGX","95735"
"AGY","95855"
"AGZ","95894"
"AHI","96520"
"AHJ","97090.5"
"AHK","97185.5"
"AHL","97848"
"AHM","97851.5"
"AHN","97974"
"AHO","98185"
"AHP","98405"
"AHQ","98441.5"
"AHR","98601.5"
"AHS","99247"
"AHT","99597.5"
"AHU","99642.5"
"AHV","99857"
"AHW","100251.5"
"AHX","100327"
"AHY","100375.5"
"AHZ","100412"
"AIJ","100740"
"AIK","100746.5"
"AIL","101294"
"AIM","101585"
"AIN","101632"
"AIO","101678.5"
"AIP","101705.5"
"AIQ","101867"
"AIR","101950.5"
"AIS","102146"
"AIT","103083"
"AIU","103154.5"
"AIV","103306.5"
"AIW","103420"
"AIX","103459.5"
"AIY","103679.5"
"AIZ","103695"
"AJK","103896"
"AJL","104030"
"AJM","104377.5"
"AJN","104524"
"AJO","104604"
"AJP","105118"
"AJQ","105664.5"
"AJR","105936"
"AJS","106227"
"AJT","106409"
"AJU","106568.5"
"AJV","106799"
"AJW","106891.5"
"AJX","107293.5"
"AJY","107694"
"AJZ","107743.5"
"AKL","108074.5"
"AKM","108086.5"
"AKN","108522"
"AKO","108759"
"AKP","108962.5"
"AKQ","109146"
"AKR","109152"
"AKS","109239.5"
"AKT","109285.5"
"AKU","109482.5"
"AKV","109673.5"
"AKW","109846.5"
"AKX","110182"
"AKY","110378"
"AKZ","110410.5"
"ALM","110487.5"
"ALN","110522"
"ALO","110762"
"ALP","110785"
"ALQ","110904"
"ALR","110962.5"
"ALS","110963"
"ALT","111239"
"ALU","111535.5"
"ALV","111648"
"ALW","112057.5"
"ALX","112058.5"
"ALY","112193"
"ALZ","112485.5"
"AMN","112811"
"AMO","113324"
"AMP","113438"
"AMQ","113447.5"
"AMR","113537"
"AMS","113667.5"
"AMT","113683.5"
"AMU","113820"
"AMV","114193"
"AMW","114262"
"AMX","114385"
"AMY","114724.5"
"AMZ","114966"
"ANO","115089.5"
"ANP","115353.5"
"ANQ","115502.5"
"ANR","115664"
"ANS","115766.5"
"ANT","115788.5"
"ANU","116001.5"
"ANV","116039"
"ANW","116097"
"ANX","116180"
"ANY","116525"
"ANZ","116902.5"
"AOP","116980.5"
"AOQ","117438.5"
"AOR","117565"
"AOS","117868"
"AOT","117895.5"
"AOU","118018"
"AOV","118365.5"
"AOW","119066"
"AOX","119179.5"
"AOY","119639.5"
"AOZ","119698.5"
"APQ","119743.5"
"APR","119844.5"
"APS","119869"
"APT","120354.5"
"APU","120893.5"
"APV","120936"
"APW","120997.5"
"APX","121117.5"
"APY","121518.5"
"APZ","121563"
"AQR","121676.5"
"AQS","121906"
"AQT","122014"
"AQU","122099.5"
"AQV","122131.5"
"AQW","122314.5"
"AQX","122913"
"AQY","123199"
"AQZ","123326"
"ARS","123352.5"
"ART","123357"
"ARU","123847"
"ARV","124256"
"ARW","124842.5"
"ARX","124880"
"ARY","124887.5"
"ARZ","125050"
"AST","125144"
"ASU","125318.5"
"ASV","125423.5"
"ASW","125736"
"ASX","125947.5"
"ASY","126016.5"
"ASZ","126233.5"
"ATU","126363"
"ATV","126462"
"ATW","126743"
"ATX","126887.5"
"ATY","126933"
"ATZ","127167"
"AUV","127268"
"AUW","127602"
"AUX","127722.5"
"AUY","127771.5"
"AUZ","127897"
"AVW","128951"
"AVX","129066"
"AVY","129120"
"AVZ","129133"
"AWX","129452.5"
"AWY","129797.5"
"AWZ","130035.5"
"AXY","130576"
"AXZ","130607"
"AYZ","130676.5"
"BCD","130773"
"BCE","130999.5"
"BCF","131808"
"BCG","131916.5"
"BCH","132095"
"BCI","132248.5"
"BCJ","132335"
"BCK","132782"
"BCL","133257"
"BCM","133544"
"BCN","133658.5"
"BCO","133860.5"
"BCP","134103"
"BCQ","134225"
"BCR","134301"
"BCS","134540.5"
"BCT","134580"
"BCU","135183"
"BCV","135209"
"BCW","135225.5"
"BCX","135367"
"BCY","136022.5"
"BCZ","136248"
"BDE","136337"
"BDF","136629"
"BDG","137689"
"BDH","137810"
"BDI","138000"
"BDJ","138602"
"BDK","138922.5"
"BDL","138947"
"BDM","139684"
"BDN","139867"
"BDO","139967.5"
"BDP","140140"
"BDQ","140338"
"BDR","140767.5"
"BDS","141570"
"BDT","142053.5"
"BDU","142572"
"BDV","142900"
"BDW","142901"
"BDX","143628.5"
"BDY","144003.5"
"BDZ","144276"
"BEF","144566"
"BEG","144842.5"
"BEH","145244"
"BEI","145386.5"
"BEJ","145716"
"BEK","146316.5"
"BEL","146879"
"BEM","146986.5"
"BEN","147436.5"
"BEO","147803"
"BEP","148153.5"
"BEQ","148223.5"
"BER","148937"
"BES","149017"
"BET","149237"
"BEU","149301.5"
"BEV","149686.5"
"BEW","149689.5"
"BEX","150259.5"
"BEY","150495"
"BEZ","150742"
"BFG","150802.5"
"BFH","150849.5"
"BFI","150946"
"BFJ","151257"
"BFK","151425.5"
"BFL","151469"
"BFM","151692"
"BFN","151954"
"BFO","151996.5"
"BFP","152119.5"
"BFQ","152222"
"BFR","152242"
"BFS","152251"
"BFT","153198"
"BFU","153319"
"BFV","153400.5"
"BFW","153583.5"
"BFX","153732.5"
"BFY","153861.5"
"BFZ","153995.5"
"BGH","154158.5"
"BGI","155080.5"
"BGJ","155137"
"BGK","155175.5"
"BGL","155185"
"BGM","155371"
"BGN","155388.5"
"BGO","155526.5"
"BGP","155820.5"
"BGQ","155878"
"BGR","156101.5"
"BGS","156200.5"
"BGT","156302"
"BGU","156345"
"BGV","156534"
"BGW","156556.5"
"BGX","156987"
"BGY","157349"
"BGZ","157428"
"BHI","157442"
"BHJ","157734.5"
"BHK","158241.5"
"BHL","159195.5"
"BHM","159261"
"BHN","159543.5"
"BHO","159568.5"
"BHP","159596"
"BHQ","159941"
"BHR","159945.5"
"BHS","160085"
"BHT","160299.5"
"BHU","160588.5"
"BHV","160968.5"
"BHW","161169"
"BHX","161183.5"
"BHY","161184"
"BHZ","161218.5"
"BIJ","161394"
"BIK","161522.5"
"BIL","161869.5"
"BIM","162256.5"
"BIN","162290"
"BIO","162669"
"BIP","162770.5"
"BIQ","162915"
"BIR","163217"
"BIS","163539.5"
"BIT","163569"
"BIU","163638"
"BIV","164190.5"
"BIW","164356.5"
"BIX","164597.5"
"BIY","164762"
"BIZ","165196.5"
"BJK","165264"
"BJL","165357.5"
"BJM","165475.5"
"BJN","165479.5"
"BJO","165485"
"BJP","165768.5"
"BJQ","165959"
"BJR","166388.5"
"BJS","166674.5"
"BJT","166777.5"
"BJU","166831"
"BJV","166894"
"BJW","167147.5"
"BJX","167201"
"BJY","167363.5"
"BJZ","167511.5"
"BKL","167540.5"
"BKM","167582.5"
"BKN","167804.5"
"BKO","167902"
"BKP","167947.5"
"BKQ","168072"
"BKR","168263.5"
"BKS","168273"
"BKT","168331"
"BKU","168366.5"
"BKV","168676"
"BKW","168950.5"
"BKX","168968"
"BKY","169073.5"
"BKZ","169136"
"BLM","169147"
"BLN","169195.5"
"BLO","169205"
"BLP","169290"
"BLQ","169711.5"
"BLR","169839.5"
"BLS","169862.5"
"BLT","169932.5"
"BLU","170432.5"
"BLV","170475.5"
"BLW","170573.5"
"BLX","170638"
"BLY","170643"
"BLZ","170737.5"
"BMN","171357.5"
"BMO","171675.5"
"BMP","171765"
"BMQ","171914.5"
"BMR","171943.5"
"BMS","172112"
"BMT","172281"
"BMU","172418"
"BMV","172480.5"
"BMW","172545.5"
"BMX","172680"
"BMY","172843"
"BMZ","173039.5"
"BNO","173152.5"
"BNP","173809.5"
"BNQ","173846"
"BNR","173980.5"
"BNS","174117.5"
"BNT","174132"
"BNU","174767.5"
"BNV","174919"
"BNW","174921"
"BNX","175945"
"BNY","176079"
"BNZ","176191"
"BOP","176212"
"BOQ","176317"
"BOR","176354.5"
"BOS","176415"
"BOT","176441"
"BOU","176655"
"BOV","176705"
"BOW","176920.5"
"BOX","176999.5"
"BOY","177308"
"BOZ","177433"
"BPQ","177828.5"
"BPR","178025"
"BPS","178400"
"BPT","178489"
"BPU","179139"
"BPV","179328.5"
"BPW","179442.5"
"BPX","179543"
"BPY","179808.5"
"BPZ","179843"
"BQR","179846"
"BQS","179940.5"
"BQT","180096.5"
"BQU","180206.5"
"BQV","180302"
"BQW","180304.5"
"BQX","180316.5"
"BQY","180385"
"BQZ","180499.5"
"BRS","180660.5"
"BRT","180787"
"BRU","180868.5"
"BRV","181074"
"BRW","181092.5"
"BRX","181154.5"
"BRY","181227"
"BRZ","181372"
"BST","181543.5"
"BSU","181549"
"BSV","181643.5"
"BSW","181670.5"
"BSX","182179.5"
"BSY","182636"
"BSZ","182790"
"BTU","183039"
"BTV","183292"
"BTW","183436"
"BTX","183553"
"BTY","183559"
"BTZ","183611"
"BUV","183657"
"BUW","183772.5"
"BUX","184209.5"
"BUY","184221.5"
"BUZ","184264"
"BVW","184458.5"
"BVX","184508"
"BVY","185213"
"BVZ","185421"
"BWX","185481"
"BWY","185824"
"BWZ","185888"
"BXY","186027"
"BXZ","186429.5"
"BYZ","186523.5"
"CDE","186581"
"CDF","186775"
"CDG","187105"
"CDH","187397.5"
"CDI","187404.5"
"CDJ","187659"
"CDK","188007"
"CDL","188020"
"CDM","188177"
"CDN","188652"
"CDO","188738"
"CDP","188786"
"CDQ","189089"
"CDR","189187"
"CDS","189315"
"CDT","189485.5"
"CDU","189649.5"
"CDV","189763.5"
"CDW","189801.5"
"CDX","190132.5"
"CDY","190165"
"CDZ","190489"
"CEF","190540"
"CEG","190547"
"CEH","190587.5"
"CEI","190719"
"CEJ","190843"
"CEK","190892.5"
"CEL","191055"
"CEM","191408.5"
"CEN","191509.5"
"CEO","191568.5"
"CEP","191600.5"
"CEQ","191706.5"
"CER","192130"
"CES","192732.5"
"CET","192831.5"
"CEU","193038"
"CEV","193230.5"
"CEW","193268.5"
"CEX","193434.5"
"CEY","193548.5"
"CEZ","193589"
"CFG","193603"
"CFH","193829"
"CFI","193857"
"CFJ","193935"
"CFK","193937.5"
"CFL","194011.5"
"CFM","194017.5"
"CFN","194436"
"CFO","194761.5"
"CFP","194772"
"CFQ","194837.5"
"CFR","194934"
"CFS","194947"
"CFT","195542"
"CFU","195583.5"
"CFV","195707"
"CFW","195755.5"
"CFX","195859"
"CFY","196077"
"CFZ","196440.5"
"CGH","196531.5"
"CGI","196644.5"
"CGJ","196652"
"CGK","197001"
"CGL","197500"
"CGM","197717.5"
"CGN","197725.5"
"CGO","197860"
"CGP","197896"
"CGQ","197971.5"
"CGR","198362"
"CGS","198614.5"
"CGT","198942"
"CGU","198953"
"CGV","199049"
"CGW","199142"
"CGX","199223.5"
"CGY","199750"
"CGZ","199866.5"
"CHI","199884.5"
"CHJ","199905.5"
"CHK","200055"
"CHL","200079.5"
"CHM","200135.5"
"CHN","200211.5"
"CHO","200421"
"CHP","201057.5"
"CHQ","201153"
"CHR","201158.5"
"CHS","201273"
"CHT","201443.5"
"CHU","201652.5"
"CHV","201886"
"CHW","202498"
"CHX","202835"
"CHY","202872.5"
"CHZ","202935.5"
"CIJ","202938"
"CIK","203103.5"
"CIL","203164"
"CIM","203256"
"CIN","203595.5"
"CIO","203815.5"
"CIP","204159"
"CIQ","204445.5"
"CIR","204539"
"CIS","204542.5"
"CIT","204623"
"CIU","204726"
"CIV","204861.5"
"CIW","205004"
"CIX","205015"
"CIY","205127.5"
"CIZ","205505.5"
"CJK","205574"
"CJL","205660"
"CJM","205714"
"CJN","205736"
"CJO","205864.5"
"CJP","205866"
"CJQ","205976.5"
"CJR","206074.5"
"CJS","206116.5"
"CJT","206626"
"CJU","206648"
"CJV","206799"
"CJW","207061.5"
"CJX","207684.5"
"CJY","207820.5"
"CJZ","207880"
"CKL","208251"
"CKM","208470"
"CKN","209016.5"
"CKO","209395"
"CKP","209688.5"
"CKQ","209715.5"
"CKR","210188.5"
"CKS","210476.5"
"CKT","210645.5"
"CKU","210879.5"
"CKV","210903.5"
"CKW","211126"
"CKX","211221"
"CKY","211268"
"CKZ","212062"
"CLM","212184"
"CLN","212224"
"CLO","212280.5"
"CLP","212423"
"CLQ","212668"
"CLR","213014.5"
"CLS","213421"
"CLT","213547.5"
"CLU","213674.5"
"CLV","213676.5"
"CLW","213736"
"CLX","213940"
"CLY","215477.5"
"CLZ","215479"
"CMN","215676.5"
"CMO","216434"
"CMP","216766.5"
"CMQ","217059"
"CMR","217131"
"CMS","217144"
"CMT","217202.5"
"CMU","217245"
"CMV","217328"
"CMW","217330"
"CMX","218058.5"
"CMY","218460.5"
"CMZ","218981"
"CNO","219265.5"
"CNP","219309.5"
"CNQ","219333"
"CNR","219520"
"CNS","219779"
"CNT","220304.5"
"CNU","220513.5"
"CNV","221115.5"
"CNW","221624"
"CNX","221800.5"
"CNY","222186.5"
"CNZ","222777"
"COP","222840.5"
"COQ","222946"
"COR","223490.5"
"COS","223743"
"COT","224375"
"COU","224515.5"
"COV","225037"
"COW","226228"
"COX","226355"
"COY","226615.5"
"COZ","227230"
"CPQ","228218.5"
"CPR","228690.5"
"CPS","228720"
"CPT","229220"
"CPU","229508.5"
"CPV","229672.5"
"CPW","229811.5"
"CPX","229976"
"CPY","230036.5"
"CPZ","230050.5"
"CQR","230182.5"
"CQS","230399"
"CQT","230421"
"CQU","230584.5"
"CQV","231325"
"CQW","231419"
"CQX","231549"
"CQY","231668.5"
"CQZ","232232"
"CRS","233330.5"
"CRT","233333"
"CRU","233863.5"
"CRV","233899.5"
"CRW","234121"
"CRX","234135"
"CRY","234274.5"
"CRZ","234480"
"CST","234786"
"CSU","234871"
"CSV","235069"
"CSW","235611.5"
"CSX","235640.5"
"CSY","235986.5"
"CSZ","236442.5"
"CTU","236461"
"CTV","236788"
"CTW","236935"
"CTX","237225.5"
"CTY","237384.5"
"CTZ","237453.5"
"CUV","237557"
"CUW","237829.5"
"CUX","238005.5"
"CUY","238192.5"
"CUZ","238448"
"CVW","238697"
"CVX","240548.5"
"CVY","240629.5"
"CVZ","241330.5"
"CWX","241617.5"
"CWY","242621.5"
"CWZ","242720.5"
"CXY","242740"
"CXZ","242927.5"
"CYZ","243716.5"
"DEF","245074.5"
"DEG","245821"
"DEH","246968.5"
"DEI","247284.5"
"DEJ","247306.5"
"DEK","247376"
"DEL","248094"
"DEM","248100"
"DEN","248483.5"
"DEO","248898"
"DEP","250072.5"
"DEQ","250886"
"DER","251217"
"DES","251405.5"
"DET","251515"
"DEU","251521"
"DEV","251834"
"DEW","251847"
"DEX","252016"
"DEY","252103.5"
"DEZ","252376.5"
"DFG","252482"
"DFH","252531.5"
"DFI","254392"
"DFJ","254865.5"
"DFK","256336"
"DFL","256356.5"
"DFM","256485.5"
"DFN","256607"
"DFO","257284"
"DFP","257566.5"
"DFQ","258209"
"DFR","258241.5"
"DFS","258525"
"DFT","258961.5"
"DFU","259516"
"DFV","259595"
"DFW","259950"
"DFX","260885"
"DFY","261438.5"
"DFZ","261467.5"
"DGH","262615.5"
"DGI","263080"
"DGJ","263238.5"
"DGK","264919.5"
"DGL","264921.5"
"DGM","265813.5"
"DGN","266083.5"
"DGO","266368.5"
"DGP","267921.5"
"DGQ","269340"
"DGR","270420.5"
"DGS","270499"
"DGT","272240.5"
"DGU","272302.5"
"DGV","272547"
"DGW","272980.5"
"DGX","274372.5"
"DGY","274816"
"DGZ","275082"
"DHI","275406"
"DHJ","275613.5"
"DHK","276224"
"DHL","277312"
"DHM","280163.5"
"DHN","280976"
"DHO","281731.5"
"DHP","281853.5"
"DHQ","283423"
"DHR","283477"
"DHS","283570.5"
"DHT","285527"
"DHU","285804.5"
"DHV","287042.5"
"DHW","287425"
"DHX","287555.5"
"DHY","287640"
"DHZ","288074.5"
"DIJ","289054"
"DIK","289054.5"
"DIL","291001.5"
"DIM","291547.5"
"DIN","292019"
"DIO","293003"
"DIP","293783"
"DIQ","293996"
"DIR","295137"
"DIS","295699.5"
"DIT","295735"
"DIU","296489"
"DIV","296620"
"DIW","296820"
"DIX","296961.5"
"DIY","297309.5"
"DIZ","297391"
"DJK","298206.5"
"DJL","298979.5"
"DJM","299001"
"DJN","299599"
"DJO","299998"
"DJP","300105"
"DJQ","300883.5"
"DJR","301025"
"DJS","301793"
"DJT","301838"
"DJU","302091.5"
"DJV","305142.5"
"DJW","305879.5"
"DJX","306030.5"
"DJY","307032.5"
"DJZ","307408.5"
"DKL","307499.5"
"DKM","308299.5"
"DKN","309242.5"
"DKO","312432"
"DKP","312819.5"
"DKQ","313791"
"DKR","314334"
"DKS","314970"
"DKT","317190.5"
"DKU","317524.5"
"DKV","318115"
"DKW","318244"
"DKX","319074"
"DKY","319263.5"
"DKZ","319760"
"DLM","320664"
"DLN","320758"
"DLO","320872.5"
"DLP","321064"
"DLQ","321288.5"
"DLR","323333"
"DLS","323574"
"DLT","323776"
"DLU","324035.5"
"DLV","325444"
"DLW","325563.5"
"DLX","325701.5"
"DLY","326408.5"
"DLZ","327624"
"DMN","327944.5"
"DMO","328020.5"
"DMP","328785.5"
"DMQ","329505.5"
"DMR","330249"
"DMS","330722"
"DMT","331615"
"DMU","331699.5"
"DMV","332168.5"
"DMW","332567"
"DMX","332776.5"
"DMY","334337.5"
"DMZ","335791.5"
"DNO","335921"
"DNP","336113"
"DNQ","336254.5"
"DNR","337050"
"DNS","337503"
"DNT","337643"
"DNU","338085"
"DNV","338306"
"DNW","338857"
"DNX","342886"
"DNY","343083.5"
"DNZ","343118.5"
"DOP","343138.5"
"DOQ","343448.5"
"DOR","343999"
"DOS","344102"
"DOT","344459.5"
"DOU","344597"
"DOV","344668.5"
"DOW","345160.5"
"DOX","346068.5"
"DOY","346399.5"
"DOZ","346638.5"
"DPQ","347638"
"DPR","349108.5"
"DPS","349459"
"DPT","350279.5"
"DPU","350984"
"DPV","352506"
"DPW","352685.5"
"DPX","353981"
"DPY","354495"
"DPZ","355758.5"
"DQR","355921.5"
"DQS","356456"
"DQT","357706.5"
"DQU","358269.5"
"DQV","359165"
"DQW","359342"
"DQX","360335"
"DQY","361336.5"
"DQZ","361432"
"DRS","361909.5"
"DRT","362970.5"
"DRU","363048.5"
"DRV","364379"
"DRW","365253"
"DRX","365366.5"
"DRY","368285.5"
"DRZ","368297.5"
"DST","368649.5"
"DSU","368916"
"DSV","370786"
"DSW","371973"
"DSX","372205.5"
"DSY","373159"
"DSZ","373329"
"DTU","373552.5"
"DTV","383145.5"
"DTW","386856.5"
"DTX","387516.5"
"DTY","388632"
"DTZ","392539"
"DUV","392991"
"DUW","393857"
"DUX","397861"
"DUY","401149.5"
"DUZ","401555.5"
"DVW","405328.5"
"DVX","405659"
"DVY","405861.5"
"DVZ","410221"
"DWX","410999.5"
"DWY","415952.5"
"DWZ","416402"
"DXY","417055"
"DXZ","421014"
"DYZ","425289"
"EFG","427341.5"
"EFH","429656.5"
"EFI","432931"
"EFJ","440761.5"
"EFK","446191.5"
"EFL","448810"
"EFM","450088"
"EFN","451210.5"
"EFO","457566"
"EFP","465622"
"EFQ","475722.5"
"EFR","482290"
"EFS","485697"
"EFT","487699"
"EFU","489526"
"EFV","508111"
"EFW","511450"
"EFX","522542.5"
"EFY","541444.5"
"EFZ","556122"
"EGH","570978.5"
"EGI","572170.5"
"EGJ","582920"
"EGK","609826.5"
"EGL","915333.5"
"EGM","(1)"
