"","new_col"
"17","8EGQ0,11LV0,4EGX0,4EGX0,12JN0,7EGT0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"18","8EGM1,7EGY1,4EGN0,11LR0,12HX0,13BN1,1BF1,11JW0,3APX0,4EGN0"
"19","8EGQ0,11LV0,4EGY0,4EGY1,1BD1,7EGQ1,1CG1,13BW1,12HK0,2EGS0,3ACO1,3APS1,6EGM0,3ATX1,7EGQ1,13CG1,9EGQ1,13DO0,8EGQ0,1CI0"
"20","8EGM1,7EGW1,4EGW1,11LR0,12HV0,14EIQ1,1BJ1,1EH0,11LN0,12HM0,7EGW0,4EGW1,13AW1,14EIQ1,1BV1,1DM0,1BZ0,2EGQ1"
"21","8EGQ0,11LV0,4EGX0,4EGX0,12JN0,7EGU0,12IX0,14EIQ0,13BZ0,3MO1,6EGR0,1DI0,6EGR1,3DNZ0"
"22","8EGM1,7EGR0,11LR0,4EGS0,7EGR0,13CT0"
"23","8EGM1,7EHI0,11LR0,4EGN0,7EHI1,4EGN0,13CT0,11JV0,2EGQ0,8EGM0,2EGQ0,14EIQ0"
"24","8EGQ0,11LV0,4EGX0,4EGX0,12JN0,7EGZ1,1BD1,14EIQ0,13CK0,3QU1,4EGX0,1CI1,1DG1"
"25","8EGM1,7EGZ1,4EGV1,11LR0,12HV0,14EIQ1,1BJ1,1EH0,11LN0,12HM0,7EGZ0,4EGV0,14EIQ1,3ANV1,3DWZ0,3BEX1,1BT1,13CW0,2EGO1,4EGV1,3BNP1,1CQ1,1DO0"
"26","8EGP0,11LV0,4EGX0,4EGX0,12JN0,7EGP1,1BD0,6EGQ0,4EGX0,6EGQ0,6EGQ0"
"27","8EGN0,11LV0,4EGX0,4EGX0,12JN0,7EGQ1,1BD1,14EIQ0,13CK1,1CQ0,6EGM0,4EGX0,7EGQ0,1BF1,3DNS1,2EGQ0"
"28","8EGM1,7EGP0,11LR0,4EGX1,1BR1,7EGP1,1DY0,12HV0,14EIQ1,4EGX0,14EIQ0,3ANY1,13CI0,8EGM0,13BT1,2EGQ0,1CO1,1DQ0,11HL0,4EGX0,3BDM1,2EGQ0,7EGP0,14EIQ0,3CWX0,3CST0,4EGX1,1CU0,2EGQ0"
"29","8EGN0,11LV0,4EGT0,4EGT0,12JN0,7EGX1,1BD0,6EGQ0,4EGT0,6EGQ0,6EGQ0"
"30","8EGP0,11LV0,4EHJ0,4EHJ0,12JN0,7EGY0,12IX0,14EIQ0,13BZ1,2EGQ0,7EGY1,1CO0,4EHJ0,3BPZ1,3BSV1,13CU0"
"31","8EGP0,11LV0,4EGV0,4EGV1,1BD1,7EGQ1,1CG1,13BW1,12HK0,2EGQ0,3ACO1,3APS1,6EGM0,3ATX1,7EGQ1,13CG0,1CN0"
"32","8EGP0,11LV0,4EHJ0,4EHJ0,12JN0,7EGN0,12IX0,14EIQ0,13BZ0,3MO1,6EGO1,7EGN0"
"33","8EGM1,7EGU0,11LR0,4EHJ1,1BR0,14EIQ0,1AZ0,4EHJ0,13EI0,14EIQ0,9EGO0,3QW1,13CD0,2EGT0,3BCP1"
"34","8EGQ0,11LV0,4EGN0,4EGN0,12JN0,7EGT0,12IX0,14EIK0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ1,1CE1"
"35","8EGP0,11LV0,4EHJ0,4EHJ0,12JN0,7EGT0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"36","8EGR1,7EGN0,11LR0,4EGX1,1BR0,14EIQ0,1AZ0,4EGX0,13EI0,14EIQ0,9EGQ0,3QW1,13CD0,2EGQ0,3BCP1"
"37","8EGM1,7EGW1,4EGT1,11LR0,12HV0,14EIQ1,1BJ1,1EH0,11LN0,12HM0,7EGW0,4EGT0,14EIQ1,3ANV1,3DWZ0,3BEX1,1BT1,13CW0,2EGS0,1CT0,4EGT0,3DKP0,13CG0"
"38","8EGM1,7EGT0,11LR0,4EGS0,7EGT1,4EGS0,13CT0,11JV0,2EGQ0,8EGM0,2EGQ0,14EIQ0"
"39","8EGM1,7EGW1,4EGV1,11LR0,12HV0,14EIQ1,1BJ1,1EH0,11LN0,12HM0,7EGW0,4EGV0,14EIQ1,3ANV0,8EGM0,4EGV0,1BX1,3SU1,7EGW0,2EGS0,13DE0"
"40","8EGM1,7EGZ1,4EGV1,11LR0,12HV0,14EIQ1,1BJ0,1AV0,13CF1,3DIY0,7EGZ0"
"41","8EGQ0,11LV0,4EGX0,4EGX0,12JN0,7EGN0,12IX0,14EIQ0,13BZ0,3MO1,6EGR0,1DI0,6EGR1,3DNZ0"
"42","8EGN0,11LV0,4EGX0,4EGX0,12JN0,7EGS0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"43","8EGM1,7EGW1,4EGV1,11LR0,12HV0,14EIQ1,1BJ1,1EH0,11LN0,12HM0,7EGW0,4EGV0,14EIQ1,3ANV1,3DWZ0,3BEX1,1BT1,13CW0,2EGN1,4EGV1,3BNP1,1CQ1,1DO0"
"44","8EGM1,7EGT0,11LR0,4EGX1,1BR1,7EGT1,1DY0,12HV0,14EIQ1,4EGX0,14EIQ0,3ANY1,13CI0,8EGM0,13BT1,2EGQ0,1CO1,1DQ0,11HL0,4EGX0,3BDM1,2EGQ0,7EGT0,14EIQ0,3CWX0,3CST0,4EGX1,1CU1,1DO0,3BNZ0"
"45","8EGQ0,11LV0,4EGY0,4EGY1,1BD1,7EGQ1,1CG1,13BW1,12HK0,2EGQ0,3ACO1,3APS1,6EGM0,3ATX1,7EGQ1,13CG0,1CN0"
"46","8EGM1,7EGP0,11LR0,4EGU1,1BR1,7EGP1,1DY0,12HV0,14EIQ1,4EGU0,14EIQ0,3ANY0,2EGT1,7EGP0,1CO0,13BW1"
"47","8EGN0,11LV0,4EGU0,4EGU0,12JN0,7EGW1,1BD0,6EGQ0,4EGU0,6EGQ0,6EGQ0"
"48","8EGR1,7EGQ1,4EHJ0,11LR0,12HX0,13BN1,1BF0,7EGQ0,14EIQ0,2EGQ0,8EGR1,4EHJ0,1AV0"
"49","8EGR1,7EGW1,4EHI1,11LR0,12HV1,14EHK1,1BC1,1EF0,4EHI1"
"50","8EGN0,11LV0,4EGV0,4EGV1,1BD1,7EGQ1,1CG1,13BW1,12HK0,2EGN1,10EGN1,6EGM1,11HR0,3AHK1"
"51","8EGN0,11LV0,4EGX0,4EGX0,12JN0,7EGQ1,1BD1,14EIQ0,13CK1,1CQ0,6EGM0,4EGX0,7EGQ0,1BF1,3DNS0"
"52","8EGM1,7EGZ1,4EHJ0,11LR0,12HX0,13BN1,1BF1,11JW0,3APX1,14EIQ0,1EJ0,14EIQ1,4EHJ1,13DY0,3CUZ0,2EGQ1,9EGQ1,7EGZ1"
"53","8EGM1,7EGT0,11LR0,4EGQ0,7EGT1,4EGQ0,13CT0,11JV0,2EGQ0,8EGM0,2EGQ0,14EHU1,1BX1,1CE1"
"54","8EGM1,7EGU0,11LR0,4EGU1,1BR0,14EIK0,1AZ1,12HV0,2EGQ0,9EGQ1,3NY1,3AFU0,13DO0,7EGU0"
"55","8EGM1,7EGN0,11LR0,4EGX1,1BR1,7EGN1,1DY0,12HV0,14EIQ1,4EGX0,14EIQ0,3ANY1,13CI1,4EGX0,2EGQ1,13ET0,13CK1,3DFL0,3CLP0,3CEV0,3CDT0,13CO1,7EGN0,13DY0,1BU1,1BX1,1CJ0"
"56","8EGM1,7EGT0,11LR0,4EGX1,1BR0,14EIQ0,1AZ1,12HV0,2EGQ0,9EGQ1,3NY1,3AFU1,3AGJ1,14EIQ1,3DGV0,3CDY0,7EGT1,13AJ1,3AOW1,3BCY1,3BFS1,4EGX1,3BYZ1"
"57","8EGM1,7EGY1,4EGV1,11LR0,12HV0,14EIQ1,1BJ0,1AV1,8EGM0,4EGV1,3DNT0,2EGQ0,7EGY0,3DHY0,3CTU0,3BGV0,3AGW0,7EGY0"
"58","8EGM1,7EHI0,11LR0,4EGX1,1BR1,7EHI1,1DY0,12HV0,14EIQ1,4EGX0,14EIQ0,3ANY1,13CI0,8EGM0,13BT1,2EGQ0,1CO1,1DQ0,11HL0,4EGX0,3BDM1,2EGQ0,7EHI0,14EIQ0,3CWX0,3CST0,4EGX1,1CU0,2EGQ0"
"59","8EGM1,7EGW1,4EGW1,11LR0,12HV0,14EIQ1,1BJ1,1EH0,11LN0,12HM0,7EGW0,4EGW1,13AW1,14EIQ1,1BV1,1DM0,1BZ1"
"60","8EGN0,11LV0,4EHJ0,4EHJ0,12JN0,7EGZ1,1BD0,6EGM0,4EHJ0,6EGM0,6EGM1,7EGZ0"
"61","8EGM1,7EGP0,11LR0,4EGX1,1BR0,14EIQ0,1AZ1,12HV0,2EGQ0,9EGQ1,3NY1,3AFU1,3AGJ1,14EIQ1,3DGV0,3CDY0,7EGP0,3AHR1,1BJ1,3BKL0,4EGX0"
"62","8EGN0,11LV0,4EHJ0,4EHJ0,12JN0,7EGN0,12IX0,14EIQ0,13BZ0,3MO1,6EGM0,1DI0,6EGM0,1BZ0"
"63","8EGR1,7EGN0,11LR0,4EGX1,1BR1,7EGN1,1DY0,12HV0,14EIQ1,4EGX0,14EIQ0,3ANY1,13CI0,8EGR1,3DFX0,1BX1,3BUY0,2EGQ0,3BLW0,3BGL1,2EGQ1,4EGX0,1CZ1"
"64","8EGM1,7EGQ1,4EHJ0,11LR0,12HX0,13BN1,1BF1,11JW0,3APX1,14EIQ0,1EJ0,14EIQ1,4EHJ1,13DY0,3CUZ0,2EGR1,9EGQ1,7EGQ0,13DE0,13CI1,3APY1,13CT1,1DW0,7EGQ1,1BW1"
"65","8EGP0,11LV0,4EHJ0,4EHJ0,12JN0,7EGW1,1BD0,6EGQ0,4EHJ0,6EGQ0,6EGQ0"
"66","8EGP0,11LV0,4EGV0,4EGV1,1BD1,7EGY1,1CG0,3DNW0,9EGO0,13CK0,3AMN1,2EGQ0"
"67","8EGM1,7EGY1,4EGV1,11LR0,12HV0,14EIQ1,1BJ0,1AV1,8EGM0,4EGV1,3DNT0,2EGS1,3AFX1,13EY0"
"68","8EGN0,11LV0,4EHJ0,4EHJ0,12JN0,7EGT0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"69","8EGO0,11LV0,4EHJ0,4EHJ0,12JN0,7EGW1,1BD1,14EIQ0,13CK0,3QU1,4EHJ1,1DG1,4EHJ0,1DM1,6EGO0"
"70","8EGP0,11LV0,4EGX0,4EGX0,12JN0,7EGU0,12IX0,14EHU0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"71","8EGM1,7EGN0,11LR0,4EGT1,1BR1,7EGN1,1DY0,12HV0,14EIQ1,4EGT1,3DRU0,3PS0"
"72","8EGP0,11LV0,4EGN0,4EGN0,12JN0,7EGU0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"73","8EGM1,7EGR0,11LR0,4EGR0,7EGR0,13CT0"
"74","8EGN0,11LV0,4EGX0,4EGX0,12JN0,7EGY0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"75","8EGM1,7EGU0,11LR0,4EGV1,1BR1,7EGU0,14EGR0,12HU0,4EGV0,2EGQ1,14EGR0"
"76","8EGR1,7EGU0,11LR0,4EGX1,1BR1,7EGU0,14EIQ0,12HU0,4EGX0,2EGQ1,14EIQ1,5T0,13FK0,14EIQ0,1BT1,1CM1,7EGU0,3EFP0,11KM0,3BDO0"
"77","8EGM1,7EGY1,4EGX0,11LR0,12HX0,13BN1,1BF1,11JW0,3APX1,14EIQ0,1EJ0,14EIQ1,4EGX0,7EGY0,3BGN1,2EGQ0,3DIM0,3CWZ0,3BWX0,13CT0,3BKY0,1BU1,3BIX0"
"78","8EGN0,11LV1,1AJ1,4EGX1"
"79","8EGP0,11LV0,4EGX0,4EGX0,12JN0,7EGY0,12IX0,14EIQ0,13BZ0,3MO1,6EGM0,1DI0,6EGM0,1BZ1,1CE1"
"80","8EGM1,7EGX0,11LR0,4EGX1,1BR1,7EGX1,1DY0,12HV0,14EIQ1,4EGX0,14EIQ0,3ANY1,13CI0,8EGM0,13BT1,2EGO1,3DFK1,13CD0,1BU1,3DGT0,1CJ1"
"81","8EGM1,7EGW1,4EGY1,11LR0,12HV0,14EIQ1,1BJ1,1EH0,11LN0,12HM0,7EGW0,4EGY0,14EIQ1,3ANV1,3DWZ0,3BEX1,1BT0,3BFI1,3CGN1,3CKP0,1BN0,3CIM0,2EGQ0"
"82","8EGN0,11LV0,4EGS0,4EGS0,12JN0,7EGY0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"83","8EGN0,11LV0,4EGW1,1BJ1,2EGN1,1DG0,13EY0,7EGW1,14EIQ1,3CLV1,3COT1,3DIR1"
"84","8EGM1,7EGW1,4EGU0,11LR0,12HX0,13BN1,1BF1,11JW0,3APX1,14EIQ0,1EJ0,14EIQ1,4EGU1,13DY0,3CUZ1,3DJY0,3DGW0,7EGW1,9EGQ1,3DGJ0,3DFJ0,13CL0,1DR0,3DEY0"
"85","8EGQ0,11LV0,4EHJ0,4EHJ0,12JN0,7EGP1,1BD1,14EIQ0,13CK0,3QU1,4EHJ1,1DG0,13BW1,6EGM0,12HI0,1CG0,8EGQ1,4EHJ0"
"86","8EGQ0,11LV0,4EHJ0,4EHJ0,12JN0,7EGT0,12IX0,14EIQ0,13BZ0,3MO1,6EGM0,1DI0,6EGM0,1BZ0"
"87","8EGM1,7EGX0,11LR0,4EGV1,1BR0,14EIQ0,1AZ1,12HV0,2EGO1,7EGX1,1BF1,3CSU0,7EGX1,4EGV1,3CFW1,1BN0,2EGO1"
"88","8EGN0,11LV0,4EHJ0,4EHJ0,12JN0,7EGS0,12IX0,14EIQ0,13BZ1,2EGO0,7EGS0,6EGQ0,13CE1,4EHJ1,3BEF0"
"89","8EGM1,7EGW1,4EGW1,11LR0,12HV1,14EIQ1,1BC1,1EF0,4EGW1"
"90","8EGM1,7EGY1,4EHJ0,11LR0,12HX0,13BN1,1BF1,11JW0,3APX1,14EIQ0,1EJ0,14EIQ1,4EHJ1,13DY0,3CUZ0,2EGQ1,9EGQ1,7EGY0,13DE0,13CI1,3APY1,13CT0"
"91","8EGQ0,11LV0,4EGT0,4EGT0,12JN0,7EGQ1,1BD1,14EGV0,13CK0,3QU1,4EGT1,1DG0,13BW1,6EGM0,12HI0,1CG1,3DLR0"
"92","8EGP0,11LV0,4EGX0,4EGX0,12JN0,7EGU0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"93","8EGM1,7EGQ1,4EGY1,11LR0,12HV0,14EIQ1,1BJ1,1EH1,3BSZ0,2EGQ1,11FZ0"
"94","8EGM1,7EGQ1,4EGV1,11LR1,1FN0"
"95","8EGN0,11LV0,4EGY0,4EGY1,1BD1,7EGW0,7EGW1,2EGS1,6EGQ0,8EGN0,1BF1,1DV0,9EGQ0"
"96","8EGP0,11LV0,4EHJ0,4EHJ0,12JN0,7EGZ1,1BD0,6EGQ0,4EHJ0,6EGQ0,6EGQ0"
"97","8EGN0,11LV0,4EGX0,4EGX0,12JN0,7EGP1,1BD0,6EGQ0,4EGX0,6EGQ0,6EGQ0"
"98","8EGM1,7EGP0,11LR1,1DU0"
"99","8EGP0,11LV0,4EGN0,4EGN0,12JN0,7EGS0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"100","8EGN0,11LV0,4EGX0,4EGX0,12JN0,7EGN0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"101","8EGM1,7EGS0,11LR0,4EGX1,1BR1,7EGS0,14EIQ0,12HU0,4EGX0,2EGQ1,14EIQ1,5T0,13FK0,14EIQ0,1BT1,1CM0,1CG0,3AGX1,12GI0,1CE1,4EGX0"
"102","8EGO0,11LV0,4EGV0,4EGV1,1BD0,12IO0,13FS0,6EGQ0,3DIO1,3DIP1,7EGY0"
"103","8EGM1,7EGW1,4EHI1,11LR0,12HV0,14EIQ1,1BJ1,1EH0,11LN0,12HM0,7EGW0,4EHI1,13AW1,14EIQ1,1BV0,2EGQ1,8EGM1,3DFP0"
"104","8EGM1,7EGU0,11LR0,4EGX1,1BR1,7EGU0,14EGO1"
"105","8EGR1,7EGY1,4EHJ0,11LR0,12HX0,13BN0,7EGY0,3DMW1,1CX0"
"106","8EGP0,11LV0,4EGX0,4EGX0,12JN0,7EGT0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"107","8EGM1,7EGS0,11LR0,4EGS0,7EGS0,13CT1,4EGS0"
"108","8EGM1,7EGY1,4EHJ0,11LR0,12HX0,13BN1,1BF1,11JW0,3APX1,14EIQ0,1EJ0,14EIQ1,4EHJ1,13DY0,3CUZ1,3DJY0,3DGW1,1BP1"
"109","8EGM1,7EGP0,11LR0,4EGU1,1BR1,7EGP1,1DY0,12HV0,14EIQ1,4EGU0,14EIQ0,3ANY1,13CI0,8EGM0,13BT1,2EGO1,3DFK0,3BSW1,1CY0,4EGU1,1CS1,2EGO1"
"110","8EGM1,7EGY1,4EHJ0,11LR0,12HX0,13BN1,1BF1,11JW0,3APX1,14EIQ0,1EJ0,14EIQ1,4EHJ1,13DY0,3CUZ1,3DJY0,3DGW0,7EGY0,1CS1"
"111","8EGN0,11LV0,4EGX0,4EGX0,12JN0,7EGP1,1BD0,6EGQ0,4EGX0,6EGQ0,6EGQ0"
"112","8EGP0,11LV0,4EHJ0,4EHJ0,12JN0,7EGU0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"113","8EGM1,7EGQ1,4EGV1,11LR0,12HV0,14EIQ1,1BJ1,1EH0,11LN0,12HM0,7EGQ1,13AN1,1CE0,4EGV0,13DO1,2EGQ0,1BZ0"
"114","8EGP0,11LV0,4EGV0,4EGV1,1BD1,7EGQ1,1CG0,3DNW0,9EGO0,13CK0,3AMN0,3AHO0"
"115","8EGM1,7EGW1,4EGV1,11LR0,12HV0,14EIQ1,1BJ0,1AV1,8EGM0,4EGV1,3DNT0,2EGT1,3AFX1,13EY0"
"116","8EGP0,11LV0,4EHJ0,4EHJ0,12JN0,7EGU0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"117","8EGR1,7EGQ1,4EGV1,11LR0,12HV0,14EIQ1,1BJ1,1EH0,11LN0,12HM0,7EGQ1,13AN1,1CE1,2EGQ1,14EIQ1,3DQR0,3ADZ1,9EGQ1,13BW1,1CI1"
"118","8EGP0,11LV0,4EHJ0,4EHJ0,12JN0,7EGN0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"119","8EGM1,7EGN0,11LR0,4EGT1,1BR0,14EIQ0,1AZ1,12HV0,2EGQ0,9EGQ1,3NY1,3AFU1,3AGJ1,14EIQ1,3DGV0,3CDY0,7EGN1,13AJ1,3AOW0,3AKO1,4EGT1"
"120","8EGN0,11LV0,4EHJ0,4EHJ0,12JN0,7EGP1,1BD1,14EIQ0,13CK0,3QU1,4EHJ1,1DG0,13BW1,6EGM0,12HI0,1CG0,8EGN0,7EGP1,3ARZ1,3ASW1,9EGQ1,10EGN1,7EGP0,1BJ1,3DPY1,1BX0"
"121","8EGN0,11LV0,4EGT0,4EGT0,12JN0,7EGY0,12IX0,14EIQ0,13BZ1,2EGQ0,7EGY1,1CO0,4EGT0,3BPZ0"
"122","8EGN0,11LV0,4EGX0,4EGX0,12JN0,7EGU0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"123","8EGM1,7EGP0,11LR0,4EGX1,1BR1,7EGP1,1DY0,12HV0,14EIQ1,4EGX0,14EIQ0,3ANY1,13CI0,8EGM0,13BT0,2EGS0,7EGP0,4EGX0"
"124","8EGM1,7EGY1,4EGV1,11LR0,12HV0,14EIQ1,1BJ1,1EH0,11LN0,12HM0,7EGY0,4EGV0,14EIQ1,3ANV1,3DWZ0,3BEX1,1BT0,3BFI1,3CGN1,3CKP1,13AI1,13CQ1,3DHX0,3DEM1"
"125","8EGN0,11LV0,4EGT0,4EGT0,12JN0,7EGZ1,1BD1,14EIQ0,13CK0,3QU1,4EGT1,1DG0,13BW0"
"126","8EGM1,7EGW1,4EGY1,11LR0,12HV0,14EHO1,1BJ1,1EH0,11LN0,12HM0,7EGW0,4EGY0,14EHO1,3ANV1,3DWZ0,3BEX0,11JX0,4EGY1,2EGN0,3AXZ0"
"127","8EGM1,7EGP0,11LR0,4EGX1,1BR1,7EGP1,1DY0,12HV0,14EIQ1,4EGX0,14EIQ0,3ANY0,2EGS0,3AFI0,3ACR0,13CW1,1DR0"
"128","8EGR1,7EGN0,11LR0,4EGU1,1BR0,14EIQ0,1AZ0,4EGU0,13EI0,14EIQ0,9EGQ0,3QW1,13CD0,2EGQ0,3BCP1"
"129","8EGP0,11LV0,4EHJ0,4EHJ0,12JN0,7EGY0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"130","8EGM1,7EGP0,11LR0,4EHJ1,1BR1,7EGP1,1DY0,12HV0,14EIQ1,4EHJ0,14EIQ0,3ANY0,2EGQ0,3AFI0,3ACR1,3ADQ1,7EGP1,3ADV1,13CK0,2EGQ1,4EHJ1"
"131","8EGM1,7EGP0,11LR0,4EGX1,1BR1,7EGP1,1DY0,12HV0,14EIQ1,4EGX0,14EIQ0,3ANY0,2EGR0,3AFI0,3ACR0,13CW0,8EGM1,4EGX0,1DE1,13CD0,1DK1"
"132","8EGP0,11LV0,4EHJ0,4EHJ0,12JN0,7EGY0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"133","8EGP0,11LV0,4EHJ0,4EHJ0,12JN0,7EGU0,12IX0,14EHU0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"134","8EGN0,11LV0,4EGU0,4EGU0,12JN0,7EGW1,1BD1,14EIQ0,13CK0,3QU1,4EGU1,1DG0,13BW1,6EGQ0,12HI1,1CE1"
"135","8EGO0,11LV0,4EHJ0,4EHJ0,12JN0,7EGZ1,1BD1,14EIQ0,13CK0,3QU1,4EHJ1,1DG1,4EHJ0,1DM1,6EGQ1,7EGZ0"
"136","8EGQ0,11LV0,4EGX0,4EGX0,12JN0,7EHI1,1BD1,14EIQ0,13CK0,3QU1,4EGX0,1CI0"
"137","8EGM1,7EGU0,11LR0,4EHJ1,1BR0,14EIQ0,1AZ0,4EHJ0,13EI0,14EIQ0,9EGQ0,3QW1,13CD0,2EGQ0,3BCP1"
"138","8EGQ0,11LV0,4EGX0,4EGX0,12JN0,7EGU0,12IX0,14EIQ0,13BZ0,3MO1,6EGS0,1DI0,6EGS0,1BZ0"
"139","8EGM1,7EGP0,11LR0,4EGN0,7EGP1,4EGN0,13CT0,11JV0,2EGQ0,8EGM0,2EGQ0,14EIQ0"
"140","8EGQ0,11LV0,4EHJ0,4EHJ0,12JN0,7EGN0,12IX0,14EHU0,13BZ0,3MO1,6EGM0,1DI0,6EGM0,1BZ1,1CE1"
"141","8EGN0,11LV0,4EGX0,4EGX0,12JN0,7EGN0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"142","8EGO0,11LV0,4EGV0,4EGV1,1BD1,7EGQ1,1CG0,3DNW0,9EGN0,13CK0,3AMN1,2EGQ0"
"143","8EGP0,11LV0,4EGX0,4EGX0,12JN0,7EGP1,1BD0,6EGQ0,4EGX0,6EGQ0,6EGQ0"
"144","8EGM1,7EGP0,11LR0,4EGX1,1BR1,7EGP1,1DY0,12HV0,14EIQ1,4EGX0,14EIQ0,3ANY1,13CI1,4EGX0,2EGQ1,13ET0,13CK1,3DFL0,3CLP0,3CEV0,3CDT0,13CO0,1DV0"
"145","8EGN0,11LV0,4EGV0,4EGV1,1BD0,12IO0,13FS0,6EGQ0,3DIO0,3UW1,1AZ0"
"146","8EGQ0,11LV0,4EHJ0,4EHJ0,12JN0,7EGY0,12IX0,14EIQ0,13BZ0,3MO1,6EGR0,1DI1,3NS1,7EGY1,4EHJ0,3BHT1,3BKM1,3DNY1,3DTU1"
"147","8EGN0,11LV0,4EGX0,4EGX0,12JN0,7EGP1,1BD0,6EGM0,4EGX0,6EGM0,6EGM1,7EGP0"
"148","8EGO0,11LV0,4EGV0,4EGV1,1BD1,7EGU0,7EGU1,2EGQ0,3DKS0,12IZ0,3CRU0,3CQX0,11LQ0,1CM0,1BP1,12GR0,3BQV1,3BSU1,1CK0"
"149","8EGQ0,11LV0,4EGX0,4EGX0,12JN0,7EGU0,12IX0,14EIQ0,13BZ0,3MO1,6EGQ0,1DI0,6EGQ0,1BZ0"
"150","8EGQ0,11LV0,4EGY0,4EGY1,1BD1,7EGQ1,1CG1,13BW1,12HK0,2EGR1,10EGM0"
