"","new_col"
"31","6IN0,11CV0,4IW1,1AC1,13AT0,1BS0,4IW0,7IR0,9IR0"
"32","6IP1,7IO0,11CU0,1S1,4JM0,14KV0,2IO1,7IO1,4JM1,1AG0,3GR0,3FM0"
"33","6IP1,7IV0,11CU0,1S0"
"34","6IR0,11CV0,4IO0,7IU0,2IR0,3DF1,13BO0"
"35","6IR0,11CV0,4JM0,7IU0,2IR0,3DF1,13BO0"
"36","6IO0,11CV0,4IY0,7IO0,2IR0,3DF1,13BO0"
"37","6IP1,7IX1,1R1,11CU0,12CK0,4IU1,3DQ1,3HN0,3GV1,1BG0"
"38","6IP1,7IU0,11CU0,1S1,4IT0,14KV0,2IR1,7IU0,4IT0,3IM0,3GQ1"
"39","6IP1,7IX1,1R1,11CU0,12CK0,4IW1,3DQ0,2IT0"
"40","6IP1,7JK1,1R0,4IW1,3EY1"
"41","6IS0,11CV0,4IY0,7IO0,2IR0,3DF1,13BO0"
"42","6IR0,11CV0,4IY0,7IT0,2IR0,3DF1,13BO0"
"43","6IP1,7IX1,1R1,11CU0,12CK0,4IW1,3DQ1,3HN1"
"44","6IP1,7IU0,11CU0,1S1,4IY0,14KV0,2IR1,7IU0,4IY0,3IM0,3GQ0,3GP0,3EL1,3FS0,3FJ0,1BP0"
"45","6IN0,11CV0,4IZ1,1AC1,13AT0,1BS0,4IZ0,7IR0,9IR0"
"46","6IP1,7IQ0,11CU0,1S1,4IV1,3DX0,3CY1,7IQ0"
"47","6IR0,11CV0,4IV0,7IX1,1AU0"
"48","6IP1,7IR1,1R0,4JM0"
"49","6IP1,7IX1,1R1,11CU0,12CK1"
"50","6IN0,11CV0,4IW1,1AC1,13AT1,7IR1"
"51","6IN0,11CV0,4IY0,7IR0,2IS0,3DF1,13BO1,7IR0"
"52","6IP1,7JK1,1R1,11CU0,12CK0,4JM0,2IR0,3FV1,3GW0,7JK1"
"53","6IP1,7IU0,11CU0,1S1,4IR0,14JX0,2IR1,7IU0,4IR0,3IM0,3GQ0,3GP0,3EL1,3FS1"
"54","6IP1,7IV0,11CU0,1S1,4IV1,3DX0,3CY1,7IV0"
"55","6IP1,7IO0,11CU0,1S1,4IY0,14KV0,2IR1,7IO1,4IY1,1AG1,1BS0,2IR0,3GN0,13AY1,1AU0,3FG0"
"56","6IP1,7IU0,11CU0,1S1,4IY0,14KV0,2IR1,7IU0,4IY0,3IM0,3GQ0,3GP0,3EL1,3FS1"
"57","6IP1,7IZ1,1R1,11CU0,12CK0,4IW1,3DQ0,2IR1,7IZ0,1AE0"
"58","6IP1,7JL0,11CU0,1S1,4IY0,14KV0,2IR1,7JL1,4IY1,1AG1,1BS0,2IR0,3GN0,13AY0,12CF0,11CN0,1AN1,9IR0,8IN0"
"59","6IP1,7IX1,1R1,11CU0,12CK0,4IX1,3DQ1,3HN0,3GV0,2IR1,11CS0,14KV1,7IX0,4IX1"
"60","6IN0,11CV0,4JM0,7JK0,2IR0,3DF1,13BO1,7JK0"
"61","6IP1,7IQ0,11CU0,1S1,4IY0,14KV0,2IR1,7IQ1,4IY1,1AG0,3GR0,3FM0"
"62","6IN0,11CV0,4JM0,7IO0,2IR0,3DF1,13BO0"
"63","6IP1,7IO0,11CU0,1S1,4IY0,14KV0,2IR1,7IO1,4IY1,1AG1,1BS0,2IR0,3GN0,13AY0,12CF0,11CN0,1AN1,9IR0,8IS1,1BI1"
"64","6IP1,7IR1,1R1,11CU0,12CK0,4JM0,2IS1,4JM1,11CP0,3GS0"
"65","6IR0,11CV0,4JM0,7IX1,1AU0"
"66","6IS0,11CV0,4IW1,1AC0,4IW0,3DW1"
"67","6IP1,7IZ1,1R1,11CU0,12CK0,4IW1,3DQ1,3HN0,3GV0,2IT1,11CS0,14KV1,7IZ1,13BC1,1AN0,7IZ1"
"68","6IR0,11CV0,4JM0,7IU0,2IR0,3DF1,13BO0"
"69","6IP1,7IX1,1R1,11CU0,12CK0,4JM0,2IR0,3FV0,1BD1,13BJ0,3DN1,4JM0,7IX1,3EM0"
"70","6IR0,11CV0,4IY0,7IV0,2IR0,3DF1,13BO0"
"71","6IP1,7IO0,11CU0,1S1,4IU1,3DX0,3CY1,7IO0"
"72","6IR0,11CV0,4IO0,7IV0,2IR0,3DF1,13BO0"
"73","6IP1,7IS0,11CU0,1S1,4IS0,14KV0,2IP0,3HX0,1AD0,1Y0"
"74","6IR0,11CV0,4IY0,7IZ0,2IR0,3DF1,13BO0"
"75","6IP1,7IV0,11CU0,1S1,4IW0,14IS0,2IR1,7IV0,4IW0,3IM0,3GQ1"
"76","6IP1,7IV0,11CU0,1S1,4IY0,14KV0,2IR1,7IV0,4IY0,3IM0,3GQ0,3GP0,3EL0"
"77","6IP1,7IZ1,1R1,11CU0,12CK0,4IY0,2IR0,3FV0,1BD1,13BJ0,3DN1,4IY0,7IZ0"
"78","6IN0,11CV1"
"79","6IN0,11CV0,4IY0,7IZ0,2IR0,3DF1,13BO0"
"80","6IP1,7IY1,1R1,11CU0,12CK0,4IY0,2IP1,4IY1,11CP0,3GS1,3HW0,3HO0,1AF1"
"81","6IP1,7IX1,1R1,11CU0,12CK0,4IZ0,2IR0,3FV1,3GW0,7IX0,3GK0"
"82","6IR0,11CV0,4IT0,7IZ0,2IR0,3DF1,13BO0"
"83","6IR0,11CV0,4IX1,1AC1,13AT1,7IX0,3FI1,1BJ0,6IR1,1AH1"
"84","6IP1,7IX1,1R1,11CU0,12CK0,4IV1,3DQ1,3HN0,3GV1,1BG1,1BN1"
"85","6IN0,11CV0,4JM0,7IQ0,2IR0,3DF1,13BO0"
"86","6IN0,11CV0,4JM0,7IU0,2IR0,3DF1,13BO0"
"87","6IP1,7IY1,1R1,11CU0,12CK0,4IW1,3DQ1,3HN0,3GV0,2IP1,11CS0,14KV1,7IY1,13BC0"
"88","6IR0,11CV0,4JM0,7IT0,2IP0,3DF1,13BO0"
"89","6IP1,7IX1,1R1,11CU0,12CK1"
"90","6IP1,7IZ1,1R1,11CU0,12CK0,4JM0,2IR0,3FV1,3GW0,7IZ1"
"91","6IN0,11CV0,4IU0,7IR0,2IR0,3DF1,13BO0"
"92","6IR0,11CV0,4IY0,7IV0,2IO1,4IY0"
"93","6IP1,7IR1,1R1,11CU0,12CK0,4IZ0,2IR0,3FV0,1BD1,13BJ0,3DN1,4IZ1"
"94","6IP1,7IR1,1R1,11CU1"
"95","6IR0,11CV0,4IZ1,1AC1,13AT1,7IX0,3FI0"
"96","6IR0,11CV0,4JM0,7JK0,2IR0,3DF1,13BO0"
"97","6IR0,11CV0,4IY0,7IQ0,2IR0,3DF1,13BO0"
"98","6IP1,7IQ0,11CU1"
"99","6IR0,11CV0,4IO0,7IT0,2IR0,3DF1,13BO0"
"100","6IR0,11CV0,4IY0,7IO0,2IP0,3DF1,13BO0"
"101","6IP1,7IT0,11CU0,1S1,4IY0,14KV0,2IR1,7IT0,4IY0,3IM0,3GQ0,3GP0,3EL0"
"102","6IR0,11CV0,4IW1,1AC0,4IW0,3DW1"
"103","6IP1,7IX1,1R1,11CU0,12CK0,4JL1,3DQ0,2IR1,7IX0,1AE1"
"104","6IP1,7IV0,11CU0,1S1,4IY0,14IP1"
"105","6IP1,7IZ1,1R0,4JM0"
"106","6IR0,11CV0,4IY0,7IU0,2IR0,3DF1,13BO0"
"107","6IP1,7IT0,11CU0,1S1,4IT0,14KV0,2IR1,7IT0,4IT0,3IM0,3GQ0,3GP0,3EL0"
"108","6IP1,7IZ1,1R1,11CU0,12CK0,4JM0,2IS1,4JM1,11CP0,3GS1,3HW0,3HO1"
"109","6IP1,7IQ0,11CU0,1S1,4IV1,3DX1,3FX1,1AW1"
"110","6IP1,7IZ1,1R1,11CU0,12CK0,4JM0,2IR0,3FV1,3GW1,7IZ0,13BX0,3HY0"
"111","6IR0,11CV0,4IY0,7IQ0,2IR0,3DF1,13BO0"
"112","6IR0,11CV0,4JM0,7IV0,2IR0,3DF1,13BO0"
"113","6IP1,7IR1,1R1,11CU0,12CK0,4IW1,3DQ1,3HN0,3GV0,2IR1,11CS0,14KV1,7IR1,13BC1,1AN0,7IR0,4IW0"
"114","6IR0,11CV0,4IW1,1AC0,4IW0,3DW0,3DV0"
"115","6IP1,7IX1,1R1,11CU0,12CK0,4IW1,3DQ1,3HN1"
"116","6IR0,11CV0,4JM0,7IV0,2IR0,3DF1,13BO0"
"117","6IP1,7IR1,1R1,11CU0,12CK0,4IW1,3DQ1,3HN1"
"118","6IR0,11CV0,4JM0,7IO0,2IR0,3DF1,13BO0"
"119","6IP1,7IO0,11CU0,1S1,4IU1,3DX1,3FX0"
"120","6IN0,11CV0,4JM0,7IQ0,2IR0,3DF1,13BO0"
"121","6IR0,11CV0,4IU0,7IZ0,2IR0,3DF1,13BO1,7IZ0"
"122","6IR0,11CV0,4IY0,7IV0,2IR0,3DF1,13BO0"
"123","6IP1,7IQ0,11CU0,1S1,4IY0,14KV0,2IT0,3HX0,1AD1"
"124","6IP1,7IZ1,1R1,11CU0,12CK0,4IW1,3DQ1,3HN0,3GV1,1BG0"
"125","6IN0,11CV0,4IU0,7JK0,2IR0,3DF1,13BO0"
"126","6IP1,7IX1,1R1,11CU0,12CK0,4IZ0,2IO1,4IZ1,11CP0,3GS0"
"127","6IP1,7IQ0,11CU0,1S1,4IY0,14KV0,2IT0,3HX0,1AD1"
"128","6IP1,7IO0,11CU0,1S0"
"129","6IR0,11CV0,4JM0,7IZ0,2IR0,3DF1,13BO0"
"130","6IP1,7IQ0,11CU0,1S1,4JM0,14KV0,2IR1,7IQ1,4JM1,1AG1,1BS0,2IR0,3GN0,13AY0,12CF0,11CN0,1AN1,9IO1,1BM0"
"131","6IP1,7IQ0,11CU0,1S1,4IY0,14KV0,2IS1,7IQ1,4IY1,1AG1,1BS1"
"132","6IR0,11CV0,4JM0,7IZ0,2IR0,3DF1,13BO0"
"133","6IR0,11CV0,4JM0,7IV0,2IR0,3DF1,13BO0"
"134","6IR0,11CV0,4IV0,7IX1,1AU1,3EX1"
"135","6IR0,11CV0,4JM0,7JK0,2IR0,3DF1,13BO0"
"136","6IR0,11CV0,4IY0,7JL0,2IR0,3DF1,13BO0"
"137","6IP1,7IV0,11CU0,1S0"
"138","6IT0,11CV0,4IY0,7IV0,2IR0,3DF1,13BO0"
"139","6IP1,7IQ0,11CU0,1S1,4IO0,14KV0,2IR1,7IQ1,4IO0,1V1"
"140","6IN0,11CV0,4JM0,7IO0,2IP0,3DF1,13BO0"
"141","6IR0,11CV0,4IY0,7IO0,2IR0,3DF1,13BO0"
"142","6IR0,11CV0,4IW1,1AC0,4IW0,3DW1"
"143","6IR0,11CV0,4IY0,7IQ0,2IR0,3DF1,13BO0"
"144","6IP1,7IQ0,11CU0,1S1,4IY0,14KV0,2IR1,7IQ1,4IY1,1AG1,1BS0,2IR0,3GN0,13AY0,12CF0,11CN0,1AN1,9IR0,8IN0"
"145","6IR0,11CV0,4IW1,1AC0,4IW0,3DW1"
"146","6IS0,11CV0,4JM0,7IZ0,2IT0,3DF1,13BO0"
"147","6IN0,11CV0,4IY0,7IQ0,2IR0,3DF1,13BO1,7IQ0"
"148","6IS0,11CV0,4IW1,1AC1,13AT1,7IV0,3FI1,1BJ0,6IS0"
"149","6IR0,11CV0,4IY0,7IV0,2IR0,3DF1,13BO0"
"150","6IN0,11CV0,4IZ1,1AC1,13AT0,1BS0,4IZ0,7IR0,9IO0"
"151","6IR0,11CV0,4IY0,7IR0,2IR0,3DF1,13BO0"
"152","6IP1,7IZ1,1R1,11CU0,12CK0,4IZ0,2IT0,3FV1,3GW0,7IZ1"
"153","6IN0,11CV0,4JM0,7IV0,2IR0,3DF1,13BO0"
"154","6IR0,11CV0,4IU0,7IR0,2IO1,4IU0"
"155","6IT0,11CV0,4IZ1,1AC1,13AT0,1BS0,4IZ0,7IY0,9IR0"
"156","6IR0,11CV0,4IO0,7IT0,2IR0,3DF0,1BI0"
"157","6IT0,11CV0,4IV0,7IX1,1AU1,3EX0"
"158","6IR0,11CV0,4IY0,7IV0,2IR0,3DF1,13BO0"
"159","6IP1,7IY1,1R0,4IY0"
"160","6IP1,7IZ1,1R1,11CU0,12CK1"
"161","6IR0,11CV0,4IW1,1AC0,4IW0,3DW1"
"162","6IP1,7IX1,1R0,4IW1,3EY0"
"163","6IQ0,11CV0,4IY0,7IZ0,2IR0,3DF1,13BO0"
"164","6IR0,11CV0,4IY0,7IQ0,2IR0,3DF1,13BO0"
"165","6IR0,11CV0,4IY0,7IT0,2IR0,3DF1,13BO0"
"166","6IR0,11CV0,4IY0,7IV0,2IR0,3DF1,13BO0"
"167","6IP1,7IX1,1R1,11CU0,12CK0,4IW1,3DQ0,2IR1,7IX0,1AE0"
"168","6IP1,7IR1,1R1,11CU0,12CK0,4JM0,2IP1,4JM1,11CP0,3GS0"
"169","6IN0,11CV0,4JM0,7IO0,2IR0,3DF1,13BO0"
"170","6IR0,11CV0,4JM0,7IQ0,2IR0,3DF1,13BO0"
"171","6IP1,7IU0,11CU0,1S1,4IS0,14JX0,2IR1,7IU0,4IS1,3DZ1"
"172","6IP1,7IO0,11CU0,1S1,4JM0,14KV0,2IO1,7IO1,4JM1,1AG1,1BS0,2IO1"
"173","6IP1,7IO0,11CU0,1S1,4IY0,14KV0,2IR1,7IO1,4IY1,1AG0,3GR1"
"174","6IN0,11CV0,4IW1,1AC1,13AT0,1BS0,4IW0,7IR0,9IR0"
"175","6IP1,7IX1,1R1,11CU0,12CK0,4IZ0,2IR0,3FV0,1BD0,3DY0"
"176","6IP1,7IX1,1R1,11CU0,12CK0,4IX1,3DQ1,3HN0,3GV0,2IU1,11CS0,14KV1,7IX0,4IX1"
"177","6IN0,11CV0,4JM0,7IU0,2IR0,3DF1,13BO0"
"178","6IP1,7IU0,11CU0,1S0"
"179","6IP1,7IQ0,11CU0,1S1,4IW0,14KV0,2IP0,3HX1,1AS0"
"180","6IP1,7JK1,1R1,11CU0,12CK0,4JM0,2IR0,3FV0,1BD0,3DY1,3EG1,1AF1"
"181","6IP1,7JK1,1R1,11CU0,12CK0,4IW1,3DQ1,3HN0,3GV0,2IO0"
"182","6IP1,7JL0,11CU0,1S0"
"183","6IN0,11CV0,4JM0,7IQ0,2IR0,3DF1,13BO0"
"184","6IR0,11CV1"
"185","6IP1,7IX1,1R1,11CU1"
"186","6IR0,11CV0,4IY0,7IZ0,2IT0,3DF0,1BI0"
"187","6IR0,11CV0,4IZ1,1AC0,4IZ0,3DW1"
"188","6IP1,7IR1,1R1,11CU0,12CK0,4IW1,3DQ1,3HN0,3GV1,1BG1,1BN0"
"189","6IR0,11CV0,4JM0,7IX1,1AU0"
"190","6IN0,11CV0,4IY0,7IO0,2IU0,3DF1,13BO0"
"191","6IR0,11CV0,4IO0,7IZ0,2IR0,3DF1,13BO0"
"192","6IP1,7IV0,11CU1"
"193","6IN0,11CV0,4IY0,7IQ0,2IR0,3DF1,13BO1,7IQ0"
"194","6IP1,7IZ1,1R1,11CU1"
"195","6IR0,11CV0,4IO0,7IZ0,2IR0,3DF1,13BO0"
"196","6IP1,7JL0,11CU0,1S1,4IY0,14KV0,2IP0,3HX0,1AD1"
"197","6IP1,7IQ0,11CU0,1S1,4IY0,14KV0,2IR1,7IQ1,4IY1,1AG1,1BS0,2IR0,3GN0,13AY0,12CF0,11CN0,1AN0,3DR1,1AI0,3GI1"
"198","6IR0,11CV0,4JM0,7IZ0,2IR0,3DF1,13BO0"
"199","6IP1,7IQ0,11CU0,1S1,4IY0,14KV0,2IR1,7IQ1,4IY1,1AG1,1BS0,2IR0,3GN0,13AY0,12CF0,11CN0,1AN1,9IO1,1BM1"
"200","6IP1,7IU0,11CU0,1S1,4IS0,14KV0,2IS1,7IU0,4IS1,3DZ1"
"201","6IR0,11CV0,4IW1,1AC1,13AT1,7IR1"
"202","6IN0,11CV0,4IU0,7IZ0,2IR0,3DF1,13BO0"
"203","6IP1,7IZ1,1R1,11CU0,12CK0,4IW1,3DQ1,3HN0,3GV0,2IR1,11CS0,14KN0"
"204","6IP1,7IX1,1R1,11CU0,12CK0,4IW1,3DQ1,3HN0,3GV0,2IR1,11CS0,14KV1,7IX0,4IW0,1AT1"
"205","6IR0,11CV0,4IN0,7IQ0,2IR0,3DF1,13BO0"
"206","6IP1,7IT0,11CU0,1S1,4JM0,14KV0,2IR1,7IT0,4JM0,3IM0,3GQ0,3GP0,3EL1,3FS1"
"207","6IR0,11CV0,4IY0,7IV0,2IR0,3DF1,13BO0"
"208","6IP1,7IO0,11CU0,1S1,4IY0,14KV0,2IR1,7IO1,4IY1,1AG1,1BS0,2IR0,3GN0,13AY0,12CF0,11CN0,1AN1,9IP0,8IN0"
"209","6IR0,11CV0,4JK0,7IU0,2IP0,3DF1,13BO0"
"210","6IR0,11CV0,4IY0,7IZ0,2IR0,3DF1,13BO0"
"211","6IP1,7IS0,11CU0,1S1,4IY0,14KV0,2IT0,3HX0,1AD1"
"212","6IT0,11CV0,4IV0,7IO0,2IR0,3DF1,13BO0"
"213","6IN0,11CV0,4IY0,7IO0,2IR0,3DF1,13BO0"
"214","6IS0,11CV0,4IO0,7JL0,2IR0,3DF1,13BO0"
"215","6IN0,11CV0,4IY0,7IZ0,2IR0,3DF1,13BO0"
"216","6IR0,11CV0,4JM0,7IO0,2IR0,3DF1,13BO0"
"217","6IN0,11CV0,4JM0,7IQ0,2IR0,3DF1,13BO0"
"218","6IR0,11CV0,4JL1,1AC0,4JL1,3EK0"
"219","6IP1,7IV0,11CU0,1S1,4IY0,14KV0,2IU0,3HX0,1AD1"
"220","6IR0,11CV0,4JM0,7IO0,2IU0,3DF1,13BO0"
"221","6IP1,7IR1,1R1,11CU0,12CK0,4IW1,3DQ1,3HN0,3GV0,2IR1,11CS0,14JR1,7IR1,13BC1,1AN1"
"222","6IP1,7IR1,1R1,11CU0,12CK0,4IZ0,2IP1,4IZ1,11CP0,3GS0"
"223","6IR0,11CV0,4IY0,7JL0,2IR0,3DF1,13BO0"
"224","6IP1,7IX1,1R1,11CU0,12CK0,4IW1,3DQ1,3HN1"
"225","6IP1,7IV0,11CU0,1S1,4IY0,14KV0,2IT0,3HX0,1AD1"
"226","6IP1,7IY1,1R0,4IU0"
"227","6IN0,11CV0,4JM0,7IQ0,2IR0,3DF1,13BO0"
"228","6IP1,7IO0,11CU0,1S1,4IY0,14KV0,2IR1,7IO1,4IY1,1AG1,1BS0,2IR0,3GN1,7IO1"
"229","6IR0,11CV0,4IY0,7IV0,2IR0,3DF1,13BO0"
"230","6IP1,7JK1,1R1,11CU0,12CK1"
"231","6IP1,7IX1,1R1,11CU0,12CK0,4JL1,3DQ1,3HN0,3GV0,2IR1,11CS0,14KV1,7IX0,4JL1"
"232","6IP1,7IO0,11CU0,1S1,4IW0,14KV0,2IR1,7IO1,4IW0,1V1"
"233","6IT0,11CV0,4IN0,7IV0,2IP0,3DF1,13BO0"
"234","6IR0,11CV0,4JM0,7IO0,2IP0,3DF0,1BI0"
"235","6IR0,11CV0,4JM0,7JL0,2IR0,3DF1,13BO0"
"236","6IP1,7IS0,11CU0,1S1,4IY0,14IO1"
"237","6IR0,11CV0,4IY0,7IV0,2IR0,3DF1,13BO0"
"238","6IS0,11CV0,4IY0,7IV0,2IR0,3DF1,13BO0"
"239","6IT0,11CV0,4IV0,7IR0,2IR0,3DF1,13BO0"
"240","6IN0,11CV0,4IS1,1AC1,13AT0,1BS0,4IS0,7IQ0,9IR0"
"241","6IN0,11CV0,4IW1,1AC1,13AT0,1BS0,4IW0,7IX0,9IR0"
"242","6IP1,7IZ1,1R1,11CU0,12CK0,4IY0,2IR0,3FV0,1BD0,3DY0"
"243","6IR0,11CV0,4IO0,7IV0,2IR0,3DF1,13BO0"
"244","6IP1,7IZ1,1R1,11CU0,12CK0,4JM0,2IR0,3FV0,1BD1,13BJ0,3DN1,4JM0,7IZ0"
"245","6IP1,7IQ0,11CU0,1S0"
"246","6IP1,7IR1,1R1,11CU0,12CK0,4JM0,2IS1,4JM1,11CP0,3GS1,3HW0,3HO0,1AF1"
"247","6IP1,7IR1,1R1,11CU0,12CK0,4IY0,2IR0,3FV0,1BD1,13BJ0,3DN0,1BN1"
"248","6IR0,11CV0,4IW1,1AC0,4IW0,3DW1"
"249","6IP1,7IQ0,11CU0,1S1,4IY0,14KV0,2IR1,7IQ1,4IY1,1AG0,3GR0,3FM1"
"250","6IP1,7IR1,1R1,11CU0,12CK0,4IY0,2IR0,3FV0,1BD1,13BJ0,3DN0,1BN1"
"251","6IR0,11CV0,4IT0,7IV0,2IR0,3DF1,13BO0"
"252","6IP1,7IS0,11CU0,1S1,4IZ0,14KV0,2IT0,3HX0,1AD1"
"253","6IR0,11CV0,4IZ1,1AC0,4IZ0,3DW1"
"254","6IN0,11CV0,4IY0,7IX1,1AU0"
"255","6IP1,7IT0,11CU0,1S1,4IY0,14KV0,2IR1,7IT0,4IY0,3IM0,3GQ1"
"256","6IP1,7IQ0,11CU1"
"257","6IR0,11CV0,4JM0,7IR0,2IR0,3DF1,13BO0"
"258","6IR0,11CV0,4JM0,7JK0,2IR0,3DF1,13BO0"
"259","6IP1,7IU0,11CU1"
"260","6IR0,11CV0,4IW1,1AC0,4IW0,3DW0,3DV0"
"261","6IP1,7IQ0,11CU1"
"262","6IN0,11CV0,4IU0,7IZ0,2IR0,3DF1,13BO0"
"263","6IN0,11CV0,4IW1,1AC1,13AT0,1BS0,4IW0,7IX0,9IR0"
"264","6IR0,11CV0,4IY0,7IT0,2IR0,3DF1,13BO0"
"265","6IP1,7IZ1,1R1,11CU1"
"266","6IP1,7IX1,1R1,11CU0,12CK0,4JL1,3DQ1,3HN0,3GV0,2IR1,11CS0,14KV1,7IX0,4JL1"
"267","6IN0,11CV0,4JM0,7IV0,2IR0,3DF1,13BO0"
"268","6IR0,11CV0,4IW1,1AC0,4IW0,3DW1"
"269","6IP1,7IQ0,11CU0,1S1,4IS0,14IU0,2IR1,7IQ1,4IS0,1V1"
"270","6IP1,7IX1,1R1,11CU0,12CK0,4IW1,3DQ1,3HN0,3GV0,2IR1,11CS0,14KV1,7IX0,4IW0,1AT0,3FQ1"
"271","6IN0,11CV0,4IY0,7IX1,1AU0"
"272","6IR0,11CV0,4IW1,1AC0,4IW0,3DW1"
"273","6IR0,11CV0,4JM0,7IZ0,2IR0,3DF1,13BO0"
"274","6IR0,11CV0,4IW1,1AC0,4IW0,3DW1"
"275","6IP1,7JL0,11CU0,1S1,4IY0,14KV0,2IR1,7JL1,4IY1,1AG1,1BS1"
"276","6IN0,11CV0,4IW1,1AC1,13AT1,7IZ0,3FI0"
"277","6IR0,11CV0,4IY0,7IQ0,2IR0,3DF1,13BO0"
"278","6IN0,11CV0,4IY0,7IZ0,2IR0,3DF1,13BO1,7IZ0"
"279","6IP1,7IO0,11CU1"
"280","6IR0,11CV0,4JM0,7IV0,2IR0,3DF1,13BO0"
"281","6IP1,7JL0,11CU0,1S1,4IY0,14KV0,2IR1,7JL1,4IY1,1AG0,3GR0,3FM1"
"282","6IP1,7IZ1,1R1,11CU0,12CK0,4IY0,2IR0,3FV1,3GW0,7IZ1"
"283","6IP1,7IO0,11CU0,1S0"
"284","6IN0,11CV0,4IY0,7IO0,2IR0,3DF1,13BO0"
"285","6IR0,11CV0,4IU0,7JK0,2IR0,3DF1,13BO0"
"286","6IR0,11CV0,4IU0,7IX1,1AU1,3EX0"
"287","6IP1,7IO0,11CU0,1S1,4IU1,3DX1,3FX0"
"288","6IP1,7IS0,11CU0,1S1,4JM0,14KV0,2IS1,7IS1,4JM1,1AG1,1BS0,2IS1"
"289","6IR0,11CV0,4IW1,1AC0,4IW0,3DW0,3DV0"
"290","6IP1,7IR1,1R1,11CU1"
"291","6IN0,11CV0,4IW1,1AC1,13AT0,1BS0,4IW0,7IX0,9IP1,1AT0"
"292","6IR0,11CV0,4JM0,7IZ0,2IR0,3DF1,13BO0"
"293","6IR0,11CV0,4JM0,7IU0,2IR0,3DF1,13BO0"
"294","6IP1,7IZ1,1R1,11CU0,12CK0,4JM0,2IT0,3FV0,1BD1,13BJ0,3DN1,4JM0,7IZ0"
"295","6IP1,7IU0,11CU0,1S0"
"296","6IR0,11CV0,4JM0,7JK0,2IR0,3DF1,13BO0"
"297","6IT0,11CV0,4IY0,7IV0,2IR0,3DF1,13BO0"
"298","6IP1,7IR1,1R1,11CU0,12CK0,4IY0,2IT0,3FV0,1BD0,3DY1,3EG1,1AF1"
"299","6IP1,7IQ0,11CU0,1S1,4JM0,14KV0,2IR1,7IQ1,4JM1,1AG1,1BS0,2IR0,3GN0,13AY1,1AU0,3FG0"
"300","6IN0,11CV0,4IY0,7JL0,2IR0,3DF1,13BO0"
"301","6IR0,11CV0,4IO0,7IR0,2IR0,3DF1,13BO0"
"302","6IP1,7IQ0,11CU0,1S1,4IZ0,14KV0,2IT0,3HX0,1AD1"
