"","values.global_bins."
"AFQ","125545.5"
"AFR","22.5"
"AFS","159594.5"
"AFT","145819"
"AFU","292308.5"
"AFV","168370.5"
"AFW","293632.5"
"AFX","22"
"AFY","116739"
"AFZ","358221.5"
"AG","43.5"
"AGH","35516"
"AGI","115650"
"AGJ","60498"
"AGK","235038"
"AGL","120487.5"
"AGM","71018"
"AGN","83187"
"AGO","5258.5"
"AGP","168469"
"AGQ","291512"
"AGR","2638.5"
"AGS","120388.5"
"AGT","224826.5"
"AGU","279209"
"AGV","5798"
"AGW","34515"
"AGX","322121"
"AGY","4647.5"
"AGZ","25724"
"AH","46"
"AHI","89716.5"
"AHJ","154510.5"
"AHK","111971"
"AHL","172961"
"AHM","9.5"
"AHN","108782"
"AHO","4621"
"AHP","92297"
"AHQ","74622"
"AHR","6922.5"
"AHS","33432.5"
"AHT","952"
"AHU","108083.5"
"AHV","327239"
"AHW","187498.5"
"AHX","912.5"
"AHY","92957"
"AHZ","157364.5"
"AI","42.5"
"AIJ","5126.5"
"AIK","3607.5"
"AIL","(18)"
"AIM","197075"
"AIN","126021.5"
"AIO","2061"
"AIP","332878.5"
"AIQ","(34)"
"AIR","3797"
"AIS","340883"
"AIT","150091.5"
"AIU","69.5"
"AIV","337412"
"AIW","191056"
"AIX","76452.5"
"AIY","4782"
"AIZ","405201"
"AJ","211553.5"
"AJK","146108.5"
"AJL","49999.5"
"AJM","183030"
"AJN","56918"
"AJO","275611.5"
"AJP","65603"
"AJQ","48060.5"
"AJR","42044"
"AJS","1813.5"
"AJT","32606.5"
"AJU","244013"
"AJV","144241.5"
"AJW","296859.5"
"AJX","304056.5"
"AJY","306428"
"AJZ","225300"
"AK","43"
"AKL","225060.5"
"AKM","258860"
"AKN","(28)"
"AKO","170506.5"
"AKP","2080.5"
"AKQ","177035"
"AKR","1804"
"AKS","172604"
"AKT","139457"
"AKU","293873.5"
"AKV","153659.5"
"AKW","99579"
"AKX","163531"
"AKY","169538.5"
"AKZ","175917"
"AL","6155.5"
"ALM","9548.5"
"ALN","5359.5"
"ALO","137170.5"
"ALP","5412.5"
"ALQ","244561.5"
"ALR","75"
"ALS","355261.5"
"ALT","4736"
"ALU","124137.5"
"ALV","160707"
"ALW","385323.5"
"ALX","294478.5"
"ALY","4317"
"ALZ","316288.5"
"AM","4125.5"
"AMN","3901"
"AMO","255365"
"AMP","1733"
"AMQ","5395.5"
"AMR","226467.5"
"AMS","71"
"AMT","348727.5"
"AMU","184323.5"
"AMV","4157.5"
"AMW","122631.5"
"AMX","5699.5"
"AMY","219205"
"AMZ","203687.5"
"AN","63"
"ANO","189591.5"
"ANP","91760"
"ANQ","221448.5"
"ANR","365096.5"
"ANS","61265"
"ANT","47980"
"ANU","172958.5"
"ANV","364880.5"
"ANW","226052"
"ANX","153201.5"
"ANY","307904.5"
"ANZ","142709"
"AO","50.5"
"AOP","88535.5"
"AOQ","1614"
"AOR","264930.5"
"AOS","5063.5"
"AOT","74778"
"AOU","193490"
"AOV","1721"
"AOW","263207"
"AOX","1848.5"
"AOY","(38)"
"AOZ","24"
"AP","32"
"APQ","145100.5"
"APR","201178"
"APS","302931"
"APT","152697.5"
"APU","4543"
"APV","5354.5"
"APW","2696.5"
"APX","150811"
"APY","277956"
"APZ","5549.5"
"AQ","39.5"
"AQR","162683.5"
"AQS","46809"
"AQT","158769"
"AQU","329177.5"
"AQV","110064"
"AQW","281667"
"AQX","118038.5"
"AQY","170087"
"AQZ","145883"
"AR","(40)"
"ARS","197625"
"ART","(42)"
"ARU","206784"
"ARV","497097"
"ARW","256199.5"
"ARX","248119.5"
"ARY","160818"
"ARZ","454942.5"
"AS","38.5"
"AST","306906.5"
"ASU","2115.5"
"ASV","174079"
"ASW","197258"
"ASX","836"
"ASY","600067.5"
"ASZ","164673"
"AT","(24)"
"ATU","237251"
"ATV","407479"
"ATW","215537.5"
"ATX","171091.5"
"ATY","72"
"ATZ","512625.5"
"AU","(32)"
"AUV","79"
"AUW","261754.5"
"AUX","119092.5"
"AUY","72289.5"
"AUZ","103419"
"AV","4932"
"AVW","221696.5"
"AVX","226489"
"AVY","141654.5"
"AVZ","69"
"AW","74515"
"AWX","101812.5"
"AWY","231270"
"AWZ","5381"
"AX","27.5"
"AXY","200881.5"
"AXZ","1999.5"
"AY","62"
"AYZ","188986"
"AZ","38084"
"B","9497"
"BC","6261"
"BCD","2399"
"BCE","169713.5"
"BCF","193792"
"BCG","4914"
"BCH","(37)"
"BCI","296961.5"
"BCJ","211149"
"BCK","139211"
"BCL","11.5"
"BCM","176485"
"BCN","4"
"BCO","195843"
"BCP","71.5"
"BCQ","117675"
"BCR","286652"
"BCS","25"
"BCT","163833"
"BCU","420180.5"
"BCV","122047"
"BCW","232888"
"BCX","181002.5"
"BCY","177901"
"BCZ","159950"
"BD","35.5"
"BDE","21.5"
"BDF","(22)"
"BDG","181249.5"
"BDH","463654.5"
"BDI","61386.5"
"BDJ","127773.5"
"BDK","5095.5"
"BDL","215933.5"
"BDM","4147"
"BDN","230260"
"BDO","198287.5"
"BDP","117352"
"BDQ","183741.5"
"BDR","282331"
"BDS","5795.5"
"BDT","27804.5"
"BDU","122549"
"BDV","6350.5"
"BDW","119232.5"
"BDX","104437"
"BDY","5102.5"
"BDZ","107581.5"
"BE","34"
"BEF","161633"
"BEG","30691.5"
"BEH","136940"
"BEI","123176"
"BEJ","28843.5"
"BEK","171826"
"BEL","126716"
"BEM","135295"
"BEN","291490.5"
"BEO","372729.5"
"BEP","62015.5"
"BEQ","182942.5"
"BER","193307"
"BES","32384"
"BET","123975"
"BEU","120750"
"BEV","52324.5"
"BEW","195930"
"BEX","39989"
"BEY","29128"
"BEZ","224838.5"
"BF","46.5"
"BFG","73279.5"
"BFH","75636.5"
"BFI","336810"
"BFJ","10.5"
"BFK","53033.5"
"BFL","233908"
"BFM","68228.5"
"BFN","348149.5"
"BFO","117504"
"BFP","103921.5"
"BFQ","126363.5"
"BFR","90204"
"BFS","104484.5"
"BFT","164268.5"
"BFU","160632.5"
"BFV","209993"
"BFW","(17)"
"BFX","143447.5"
"BFY","173476"
"BFZ","207507"
"BG","180474.5"
"BGH","145845.5"
"BGI","359567.5"
"BGJ","183225.5"
"BGK","220053"
"BGL","627429.5"
"BGM","50495"
"BGN","15964.5"
"BGO","45431.5"
"BGP","190996"
"BGQ","88680"
"BGR","101768.5"
"BGS","504629.5"
"BGT","73987"
"BGU","221976.5"
"BGV","89317.5"
"BGW","73"
"BGX","72528.5"
"BGY","87251"
"BGZ","344846"
"BH","37.5"
"BHI","227169.5"
"BHJ","152594.5"
"BHK","162024.5"
"BHL","155917"
"BHM","2208.5"
"BHN","7731.5"
"BHO","130153"
"BHP","437448.5"
"BHQ","5842"
"BHR","87"
"BHS","94141.5"
"BHT","483383"
"BHU","62491"
"BHV","182477.5"
"BHW","122283.5"
"BHX","133042.5"
"BHY","116483"
"BHZ","117770.5"
"BI","58"
"BIJ","80.5"
"BIK","353246"
"BIL","241470.5"
"BIM","3316.5"
"BIN","233910.5"
"BIO","93734.5"
"BIP","6013"
"BIQ","167092.5"
"BIR","89722.5"
"BIS","309762.5"
"BIT","109788.5"
"BIU","357723.5"
"BIV","153030.5"
"BIW","182234"
"BIX","7585"
"BIY","274913.5"
"BIZ","315103"
"BJ","165055.5"
"BJK","6081.5"
"BJL","183138.5"
"BJM","6897.5"
"BJN","185699"
"BJO","73218.5"
"BJP","365832"
"BJQ","104700"
"BJR","180230"
"BJS","267578"
"BJT","101035"
"BJU","184921.5"
"BJV","198030"
"BJW","2994"
"BJX","4547.5"
"BJY","196547"
"BJZ","332076.5"
"BK","40.5"
"BKL","5307.5"
"BKM","133709.5"
"BKN","67877"
"BKO","283061.5"
"BKP","76695"
"BKQ","207170"
"BKR","287354.5"
"BKS","352415.5"
"BKT","183841"
"BKU","36062"
"BKV","103524.5"
"BKW","200030.5"
"BKX","8507"
"BKY","2716"
"BKZ","169242"
"BL","50019"
"BLM","122345"
"BLN","40369.5"
"BLO","38295"
"BLP","393175.5"
"BLQ","291991.5"
"BLR","289366.5"
"BLS","5311.5"
"BLT","176913"
"BLU","183621.5"
"BLV","202337.5"
"BLW","270729.5"
"BLX","56759"
"BLY","409719"
"BLZ","159662"
"BM","2886"
"BMN","231535"
"BMO","83519"
"BMP","191693.5"
"BMQ","263402"
"BMR","353214"
"BMS","63187"
"BMT","66006.5"
"BMU","135011.5"
"BMV","331537"
"BMW","124893.5"
"BMX","99711"
"BMY","194307"
"BMZ","285549"
"BN","1129"
"BNO","44369.5"
"BNP","68.5"
"BNQ","310822"
"BNR","256901.5"
"BNS","138511.5"
"BNT","26439.5"
"BNU","292171"
"BNV","420372"
"BNW","152485"
"BNX","313169.5"
"BNY","323208.5"
"BNZ","35564"
"BO","35"
"BOP","183555.5"
"BOQ","117776.5"
"BOR","176546"
"BOS","287545.5"
"BOT","91468.5"
"BOU","68"
"BOV","6813.5"
"BOW","270477"
"BOX","389700"
"BOY","153737"
"BOZ","114779.5"
"BP","138142.5"
"BPQ","123774"
"BPR","(29)"
"BPS","131892"
"BPT","492839.5"
"BPU","63253.5"
"BPV","114992"
"BPW","181657.5"
"BPX","33494"
"BPY","111911.5"
"BPZ","48117.5"
"BQ","6169"
"BQR","244542"
"BQS","228360"
"BQT","281049.5"
"BQU","276674.5"
"BQV","292312"
"BQW","6424.5"
"BQX","236733.5"
"BQY","154894"
"BQZ","88889"
"BR","332234.5"
"BRS","281108"
"BRT","135283"
"BRU","217394"
"BRV","7987.5"
"BRW","381673"
"BRX","198146"
"BRY","56109"
"BRZ","178822.5"
"BS","48.5"
"BST","3597"
"BSU","160936.5"
"BSV","211027.5"
"BSW","26882"
"BSX","444873"
"BSY","439739.5"
"BSZ","281938"
"BT","51.5"
"BTU","109358.5"
"BTV","90265.5"
"BTW","46723"
"BTX","35313.5"
"BTY","181903"
"BTZ","215975.5"
"BU","296525.5"
"BUV","132499.5"
"BUW","392660"
"BUX","224682.5"
"BUY","113934"
"BUZ","252124.5"
"BV","87530.5"
"BVW","6376.5"
"BVX","109492"
"BVY","374562.5"
"BVZ","409451.5"
"BW","44"
"BWX","67.5"
"BWY","93293.5"
"BWZ","292197.5"
"BX","45"
"BXY","311456"
"BXZ","3005"
"BY","232378"
"BYZ","141367"
"BZ","39"
"C","(1)"
"CD","41.5"
"CDE","344946.5"
"CDF","162536.5"
"CDG","90251.5"
"CDH","1744.5"
"CDI","151931.5"
"CDJ","134874.5"
"CDK","4882.5"
"CDL","9250"
"CDM","402209"
"CDN","310480.5"
"CDO","181074"
"CDP","326807"
"CDQ","78282.5"
"CDR","9074"
"CDS","245110"
"CDT","192438"
"CDU","1821"
"CDV","239447"
"CDW","70072.5"
"CDX","212013.5"
"CDY","115601.5"
"CDZ","184547.5"
"CE","53.5"
"CEF","113730"
"CEG","98105"
"CEH","232171.5"
"CEI","146770"
"CEJ","4251.5"
"CEK","213133"
"CEL","248897.5"
"CEM","38994"
"CEN","146603"
"CEO","74963"
"CEP","227582"
"CEQ","195557.5"
"CER","5539.5"
"CES","149308.5"
"CET","36237"
"CEU","94606.5"
"CEV","104568"
"CEW","1944.5"
"CEX","245921"
"CEY","131243.5"
"CEZ","118666.5"
"CF","27"
"CFG","16.5"
"CFH","403492"
"CFI","66.5"
"CFJ","315129"
"CFK","9466"
"CFL","167615"
"CFM","291802.5"
"CFN","230399.5"
"CFO","1052.5"
"CFP","4499"
"CFQ","79722.5"
"CFR","196136.5"
"CFS","81400"
"CFT","73270"
"CFU","587626"
"CFV","134579"
"CFW","387649.5"
"CFX","212706.5"
"CFY","362255.5"
"CFZ","129724"
"CG","124588.5"
"CGH","51220"
"CGI","7565.5"
"CGJ","80945"
"CGK","57311"
"CGL","94168"
"CGM","102937.5"
"CGN","208195"
"CGO","27048.5"
"CGP","32733"
"CGQ","35831.5"
"CGR","160669.5"
"CGS","398763.5"
"CGT","204148"
"CGU","192236"
"CGV","102285"
"CGW","406969"
"CGX","139857.5"
"CGY","265874"
"CGZ","269922.5"
"CH","26.5"
"CHI","181519.5"
"CHJ","375788.5"
"CHK","173908"
"CHL","493528.5"
"CHM","272955.5"
"CHN","4003.5"
"CHO","41193.5"
"CHP","82"
"CHQ","169581.5"
"CHR","124714"
"CHS","186248.5"
"CHT","189536"
"CHU","199375"
"CHV","146348.5"
"CHW","334173.5"
"CHX","512295"
"CHY","228769.5"
"CHZ","426584"
"CI","44168"
"CIJ","278524.5"
"CIK","277254.5"
"CIL","128606"
"CIM","120916.5"
"CIN","88097"
"CIO","10018.5"
"CIP","45543.5"
"CIQ","56816.5"
"CIR","93426"
"CIS","52576.5"
"CIT","144289.5"
"CIU","308559.5"
"CIV","317410.5"
"CIW","127378.5"
"CIX","25577.5"
"CIY","301046.5"
"CIZ","173220.5"
"CJ","37"
"CJK","1028.5"
"CJL","294891"
"CJM","13.5"
"CJN","194643"
"CJO","(26)"
"CJP","273195"
"CJQ","51731.5"
"CJR","156938.5"
"CJS","3855.5"
"CJT","46313"
"CJU","363537"
"CJV","419288.5"
"CJW","283087"
"CJX","3396.5"
"CJY","190080"
"CJZ","107339"
"CK","(23)"
"CKL","1203.5"
"CKM","208412.5"
"CKN","215477.5"
"CKO","97722.5"
"CKP","70584.5"
"CKQ","5576"
"CKR","83740"
"CKS","97853"
"CKT","1222"
"CKU","186127.5"
"CKV","73310.5"
"CKW","127220.5"
"CKX","6179"
"CKY","411306.5"
"CKZ","6632"
"CL","7512"
"CLM","2371"
"CLN","268142.5"
"CLO","194484.5"
"CLP","3317.5"
"CLQ","202143.5"
"CLR","75635"
"CLS","351131"
"CLT","241216"
"CLU","7139.5"
"CLV","327635"
"CLW","182137.5"
"CLX","1814"
"CLY","26990"
"CLZ","237041"
"CM","5603"
"CMN","156476"
"CMO","181815"
"CMP","124773.5"
"CMQ","65981"
"CMR","239017.5"
"CMS","112753.5"
"CMT","140146.5"
"CMU","193212"
"CMV","198856.5"
"CMW","28943"
"CMX","26683.5"
"CMY","171757"
"CMZ","453146"
"CN","376036"
"CNO","156229.5"
"CNP","210676.5"
"CNQ","342152.5"
"CNR","71999.5"
"CNS","10025.5"
"CNT","266186"
"CNU","174675.5"
"CNV","1592"
"CNW","354315.5"
"CNX","1676"
"CNY","102724.5"
"CNZ","389225"
"CO","30"
"COP","226114.5"
"COQ","42625.5"
"COR","3301"
"COS","6012.5"
"COT","249601"
"COU","183332"
"COV","42179"
"COW","53559.5"
"COX","214139"
"COY","148764.5"
"COZ","35236"
"CP","28.5"
"CPQ","132332.5"
"CPR","178148"
"CPS","315448"
"CPT","1760"
"CPU","182743"
"CPV","178573"
"CPW","208797.5"
"CPX","35363.5"
"CPY","1087"
"CPZ","201102"
"CQ","(36)"
"CQR","64106.5"
"CQS","339463"
"CQT","185787.5"
"CQU","203231"
"CQV","194458"
"CQW","323148.5"
"CQX","182343"
"CQY","237110.5"
"CQZ","5592.5"
"CR","52.5"
"CRS","122327.5"
"CRT","113259.5"
"CRU","283216"
"CRV","354395"
"CRW","132871"
"CRX","357015"
"CRY","235962.5"
"CRZ","293838"
"CS","(41)"
"CST","258309"
"CSU","240469.5"
"CSV","1207.5"
"CSW","213089"
"CSX","50742.5"
"CSY","242054.5"
"CSZ","162004"
"CT","60.5"
"CTU","239507"
"CTV","56328"
"CTW","240112"
"CTX","303519"
"CTY","106387"
"CTZ","189940"
"CU","259540.5"
"CUV","335542"
"CUW","2058"
"CUX","105942.5"
"CUY","336420.5"
"CUZ","47965.5"
"CV","12.5"
"CVW","58567.5"
"CVX","120581"
"CVY","2467"
"CVZ","129116.5"
"CW","4425.5"
"CWX","389288"
"CWY","263984.5"
"CWZ","138470"
"CX","320707"
"CXY","408370.5"
"CXZ","124656.5"
"CY","365029"
"CYZ","125021"
"CZ","372129.5"
"D","(6)"
"DE","31"
"DEF","381810"
"DEG","311221"
"DEH","396939.5"
"DEI","378952.5"
"DEJ","76318.5"
"DEK","8610.5"
"DEL","218692"
"DEM","227577.5"
"DEN","319295.5"
"DEO","5506.5"
"DEP","5075.5"
"DEQ","204564"
"DER","206460"
"DES","154897.5"
"DET","10895.5"
"DEU","292840.5"
"DEV","307376"
"DEW","488856"
"DEX","257934.5"
"DEY","156417"
"DEZ","262522.5"
"DF","59"
"DFG","74034.5"
"DFH","105044.5"
"DFI","103207"
"DFJ","78677"
"DFK","33449.5"
"DFL","182969"
"DFM","370214"
"DFN","135933.5"
"DFO","33994"
"DFP","125980"
"DFQ","124976"
"DFR","281041"
"DFS","152002"
"DFT","46770"
"DFU","181695.5"
"DFV","4856"
"DFW","38198"
"DFX","3504.5"
"DFY","109188.5"
"DFZ","201327"
"DG","42"
"DGH","56099.5"
"DGI","5858.5"
"DGJ","174915"
"DGK","306906"
"DGL","365404"
"DGM","9604.5"
"DGN","1952"
"DGO","212453.5"
"DGP","249528"
"DGQ","11161"
"DGR","36753.5"
"DGS","79527"
"DGT","184519"
"DGU","98576"
"DGV","167581.5"
"DGW","203893.5"
"DGX","4797"
"DGY","137646"
"DGZ","74818"
"DH","4759.5"
"DHI","416532"
"DHJ","134282.5"
"DHK","408668"
"DHL","465093.5"
"DHM","167978.5"
"DHN","1848"
"DHO","168424.5"
"DHP","276339"
"DHQ","194146.5"
"DHR","91699"
"DHS","66548"
"DHT","175960"
"DHU","325504.5"
"DHV","246795"
"DHW","230449"
"DHX","40471.5"
"DHY","120033"
"DHZ","109658"
"DI","951"
"DIJ","277888"
"DIK","4347.5"
"DIL","155942"
"DIM","122803.5"
"DIN","79918.5"
"DIO","105435"
"DIP","98170"
"DIQ","142760"
"DIR","155502.5"
"DIS","248567.5"
"DIT","246440"
"DIU","262214.5"
"DIV","127935.5"
"DIW","522091.5"
"DIX","342763"
"DIY","6098"
"DIZ","239610"
"DJ","47359.5"
"DJK","204795.5"
"DJL","75157"
"DJM","5974"
"DJN","313386"
"DJO","291624"
"DJP","178864"
"DJQ","256553"
"DJR","182962.5"
"DJS","228963"
"DJT","92"
"DJU","170927"
"DJV","133938"
"DJW","219484.5"
"DJX","260455"
"DJY","176314.5"
"DJZ","165944"
"DK","177875"
"DKL","190066"
"DKM","60246.5"
"DKN","336386.5"
"DKO","7766.5"
"DKP","195938.5"
"DKQ","120547"
"DKR","297841.5"
"DKS","518941.5"
"DKT","71845"
"DKU","4828.5"
"DKV","1732.5"
"DKW","107041.5"
"DKX","168091.5"
"DKY","(35)"
"DKZ","116518"
"DL","312306"
"DLM","181429.5"
"DLN","151916.5"
"DLO","110680"
"DLP","242191.5"
"DLQ","694655.5"
"DLR","263640"
"DLS","116832.5"
"DLT","5943.5"
"DLU","2149.5"
"DLV","200794"
"DLW","209854.5"
"DLX","250069.5"
"DLY","308021.5"
"DLZ","183566"
"DM","315146.5"
"DMN","198997.5"
"DMO","194447"
"DMP","137551"
"DMQ","196746.5"
"DMR","173502"
"DMS","20"
"DMT","76545"
"DMU","80502"
"DMV","220293.5"
"DMW","255848"
"DMX","341761"
"DMY","142938"
"DMZ","263008"
"DN","157583.5"
"DNO","235880"
"DNP","104400"
"DNQ","60473"
"DNR","76682.5"
"DNS","190377"
"DNT","103270"
"DNU","102670.5"
"DNV","370226"
"DNW","136026"
"DNX","103723.5"
"DNY","273019"
"DNZ","7034.5"
"DO","134078.5"
"DOP","184329"
"DOQ","23"
"DOR","241294.5"
"DOS","50929"
"DOT","179629.5"
"DOU","161086"
"DOV","74857"
"DOW","78523"
"DOX","58037"
"DOY","319490.5"
"DOZ","278867"
"DP","84039"
"DPQ","285008.5"
"DPR","40786"
"DPS","31241.5"
"DPT","346938.5"
"DPU","39086"
"DPV","1846"
"DPW","144568"
"DPX","89"
"DPY","214133.5"
"DPZ","119373.5"
"DQ","256511.5"
"DQR","305343.5"
"DQS","313332"
"DQT","312134"
"DQU","143033"
"DQV","360396"
"DQW","87136"
"DQX","265423"
"DQY","183587"
"DQZ","266549.5"
"DR","70"
"DRS","106958.5"
"DRT","165094"
"DRU","90115.5"
"DRV","209801"
"DRW","74.5"
"DRX","492073.5"
"DRY","469193"
"DRZ","4444"
"DS","128019.5"
"DST","133207.5"
"DSU","79673.5"
"DSV","1263.5"
"DSW","205784.5"
"DSX","230781.5"
"DSY","9100"
"DSZ","367235.5"
"DT","41"
"DTU","367367.5"
"DTV","92000"
"DTW","72890"
"DTX","173772"
"DTY","73207"
"DTZ","55282.5"
"DU","299462.5"
"DUV","132709.5"
"DUW","125763.5"
"DUX","185278"
"DUY","131219.5"
"DUZ","101342.5"
"DV","4136.5"
"DVW","292242"
"DVX","156455.5"
"DVY","161032.5"
"DVZ","129490"
"DW","48"
"DWX","366198"
"DWY","303152.5"
"DWZ","306468"
"DX","67"
"DXY","41133"
"DXZ","182564"
"DY","54.5"
"DYZ","308870.5"
"DZ","5021.5"
"E","(3)"
"EF","988.5"
"EFG","77959"
"EFH","297182.5"
"EFI","229803"
"EFJ","5060"
"EFK","77323.5"
"EFL","244709"
"EFM","254798"
"EFN","161396.5"
"EFO","167357"
"EFP","(30)"
"EFQ","181616.5"
"EFR","85438"
"EFS","4031.5"
"EFT","32967"
"EFU","256270.5"
"EFV","312357"
"EFW","169977.5"
"EFX","148592.5"
"EFY","37725.5"
"EFZ","361269"
"EG","32.5"
"EGH","82500"
"EGI","8747.5"
"EGJ","144655.5"
"EGK","383651"
"EGL","99873.5"
"EGM","50502"
"EGN","243167"
"EGO","347960.5"
"EGP","189220"
"EGQ","23011.5"
"EGR","99912.5"
"EGS","191915.5"
"EGT","207709"
"EGU","194962"
"EGV","147586"
"EGW","89.5"
"EGX","267612.5"
"EGY","162803"
"EGZ","182925"
"EH","38"
"EHI","86565.5"
"EHJ","396973"
"EHK","38148.5"
"EHL","255765.5"
"EHM","3633.5"
"EHN","101065"
"EHO","176740.5"
"EHP","114404.5"
"EHQ","70.5"
"EHR","208932"
"EHS","77686"
"EHT","5325"
"EHU","293301.5"
"EHV","103930"
"EHW","140180"
"EHX","270559.5"
"EHY","106554.5"
"EHZ","302549.5"
"EI","33.5"
"EJ","34074"
"EK","36"
"EL","33101.5"
"EM","21"
"EN","51289.5"
"EO","57.5"
"EP","355341.5"
"EQ","91085.5"
"ER","47.5"
"ES","79857.5"
"ET","229434"
"EU","43766.5"
"EV","7268.5"
"EW","924"
"EX","153190"
"EY","184665.5"
"EZ","52180"
"F","(16)"
"FG","223294.5"
"FH","60"
"FI","179235.5"
"FJ","57"
"FK","45998"
"FL","96335.5"
"FM","331413"
"FN","53"
"FO","216697"
"FP","172960"
"FQ","187198.5"
"FR","277067.5"
"FS","65"
"FT","57452.5"
"FU","136544.5"
"FV","44.5"
"FW","742.5"
"FX","12795"
"FY","73495"
"FZ","56.5"
"G","(9)"
"GH","194880.5"
"GI","4852.5"
"GJ","317088"
"GK","350527"
"GL","26"
"GM","36.5"
"GN","170332"
"GO","47"
"GP","521093.5"
"GQ","85709"
"GR","(27)"
"GS","26451.5"
"GT","146058.5"
"GU","173511.5"
"GV","91530"
"GW","199724"
"GX","192206"
"GY","2720.5"
"GZ","49"
"H","(8)"
"HI","123948"
"HJ","25.5"
"HK","199929.5"
"HL","135679.5"
"HM","355782"
"HN","7172"
"HO","211001"
"HP","133266"
"HQ","155835"
"HR","50"
"HS","1778"
"HT","23.5"
"HU","28"
"HV","266526"
"HW","118491"
"HX","209743.5"
"HY","5734.5"
"HZ","288093.5"
"I","66"
"IJ","243896.5"
"IK","181129.5"
"IL","199596.5"
"IM","114684"
"IN","92707"
"IO","202209"
"IP","40"
"IQ","183825.5"
"IR","90417"
"IS","84539.5"
"IT","58458"
"IU","199630.5"
"IV","366280"
"IW","3649"
"IX","211376.5"
"IY","45.5"
"IZ","131812.5"
"J","(2)"
"JK","63729.5"
"JL","62.5"
"JM","185686.5"
"JN","102518.5"
"JO","(25)"
"JP","153406"
"JQ","68301.5"
"JR","55"
"JS","10533.5"
"JT","117575.5"
"JU","5260"
"JV","261643.5"
"JW","63183"
"JX","285908"
"JY","134683.5"
"JZ","169533"
"K","(12)"
"KL","208603.5"
"KM","256275.5"
"KN","149300.5"
"KO","(31)"
"KP","(20)"
"KQ","67476.5"
"KR","220422.5"
"KS","393141.5"
"KT","943.5"
"KU","230927"
"KV","176769"
"KW","154630.5"
"KX","189348.5"
"KY","3091.5"
"KZ","9222.5"
"L","(7)"
"LM","30.5"
"LN","64.5"
"LO","54"
"LP","31.5"
"LQ","784579"
"LR","1859"
"LS","179156"
"LT","55.5"
"LU","76208.5"
"LV","164150.5"
"LW","99275"
"LX","67660"
"LY","112780"
"LZ","137769"
"M","(10)"
"MN","375857"
"MO","4966.5"
"MP","122299.5"
"MQ","(19)"
"MR","1881.5"
"MS","40838.5"
"MT","52"
"MU","61"
"MV","323280.5"
"MW","287614.5"
"MX","69946"
"MY","37506"
"MZ","181892.5"
"N","56"
"NO","248438"
"NP","76.5"
"NQ","9217.5"
"NR","233916"
"NS","89760.5"
"NT","235323.5"
"NU","4307"
"NV","58.5"
"NW","33658"
"NX","4294.5"
"NY","224936"
"NZ","398934"
"O","(13)"
"OP","138588"
"OQ","129431.5"
"OR","113076"
"OS","153769.5"
"OT","146838"
"OU","222091.5"
"OV","204299.5"
"OW","63.5"
"OX","167654.5"
"OY","3424.5"
"OZ","47749"
"P","2589"
"PQ","24.5"
"PR","5876"
"PS","179344"
"PT","188734.5"
"PU","334883"
"PV","174723"
"PW","112678.5"
"PX","197766.5"
"PY","2393.5"
"PZ","37539"
"Q","1824.5"
"QR","93983.5"
"QS","72.5"
"QT","27622"
"QU","3046"
"QV","420783.5"
"QW","120124"
"QX","66317"
"QY","118535"
"QZ","117063"
"R","221978.5"
"RS","301685"
"RT","102014"
