"","matrix.ncol...1..nrow...1000."
"69","8AB0,11B0,5FU0,7V0,4CL0,3FV1,2Q0,3FW0,3FX1"
"70","8AT0,11FL0,13U0,1AJ0,12M0,7AF0"
"71","7A0,11G0,12FY0,4AV0,3FZ0,13GH0"
"72","8AT0,11B0,4A0,12GI0,6Q0,7AF0,1AP0"
"73","7S0,11GJ0,7S0,14BP0,3GK0,13BJ0,1GL0,7S0"
"74","8A0,7Y0,12GI0,13CN0"
"75","7AF0,11GM0,7AF0,8I0,4C0,2Q0,3GN1,14S0,1GO0,13N0"
"76","8S0,11GP0,7AF0,14BP0,1FM0,4AI0,3GQ0"
"77","4AI0,11G0,7Y0,13GR0,12GS0,2Q0,4AI0,3GT0"
"78","11G1,11P1"
"79","8AT0,11GU0,4AI0,7Y0,13U0,7Y0"
"80","8I1,7AI1,3GV1,1GW1,1GX0,2AB1,4AI1"
"81","4Y0,11P0,1DW0,12GY0,14BP0,8I0,7V0,2Q0,4Y0,3GZ0,7V0"
"82","8A0,11HI0,7Y0,6Q0,1U0"
"83","4V1,1HJ0,2A1"
"84","11HK0,7V0,12HL0,13U0,14BP0,2Q0,4AF0"
"85","8Q0,11HM0,12HN0,13BW0,7AT0,4CL0,7AT0"
"86","8Q0,11EU0,13U0,4CL0,14BP0,6I0,7AV0"
"87","7AI1,2AB1,3HO1"
"88","6Q0,11BR0,12CT0,1FJ0,4CL0,7O0,2AB0,8A0"
"89","12HP1,4V1,2O1"
"90","8I1,7Y1,4CL1,1DV1,1HQ0"
"91","8Q0,11HR0,12AW0,14C0,4AV0,7Q0,13AH0"
"92","8AT0,11CI0,4AI0,11B0,7AF0,2A0,1BV0,3HS1"
"93","4Y1,8I1,1HT1,13HU0"
"94","11P1"
"95","6Q0,11HV0,12AE0,4Y0,1CN0,7V0"
"96","6Q0,11L0,4CL0,12HW0,13E0,1N0,7BS0"
"97","6Q0,11HM0,13AH0,11W0,7AT0,4AI0,2Q0,3HX0"
"98","11HY1,7AT1,11G1"
"99","6Q0,11AD0,13FM0,12HZ0,14BP0,6Q0"
"100","8A0,11AD0,13U0,4AI0,14BP0,7A0,6Q0"
"101","7O0,1CY0,12IJ0,4AI0,3IK1,7O0"
"102","8AB0,11DU0,3IL0,1IM0,4C0"
"103","4AY1,1IN0,2Q1"
"104","12DJ1,7AF1"
"105","8S0,11B0,1IM0,3IO1,7Y0,3IP0,3IQ1"
"106","6Q0,11IR0,13CH0,4AI0,7AV0"
"107","7O0,11P0,8I0,12FQ0,4O0,2Q0,7O0"
"108","11G0,4CL0,12FY0,7Y0,14BP0,4CL0,2S0,13IS1,3IT1,3IU1"
"109","4AF1,2AB1,6AB1"
"110","7Y0,11G0,3IV1,4CL0,7Y0,12IW0,3IX1"
"111","6Q0,4AI0,13IY0,11IZ0,12JK0,7AT0,3JL0"
"112","6Q0,11DX0,4CL0,12M0,14BP0,7AF0,9Q0,13BW0,2Q0"
"113","11B0,1FT0,1H1,3JM0"
"114","8AT0,11FL0,7Q0,14AI0,4C0,3JN1,1H0,13FT0"
"115","6AB1,7V1,3JO1,4C1,1FG1"
"116","8AT0,11AZ0,4CL0,2Q0,9AB0,7AF0,7AF0"
"117","8S1,4C1"
"118","6Q0,4CL0,14BP0,11L0,12GI0,7A0,8AT0"
"119","4AV1,6AB1,7A1,2Q1,3JP1"
"120","6I0,11AD0,4CL0,4CL0,13E0,1CH0"
"121","8A0,11AD0,12JQ0,7Y0,4AV0,1HQ0"
"122","8A0,11B0,14BP0,7AF0,2Q0,6Q0,13U0"
"123","4AI0,11GP0,1H0,8I0,13U0,2O0,3JR0,13JS0"
"124","11G0,7Y0,1ES0,14BP0,6AB0,7Y0,2Q0,3JT1,1CP1"
"125","6I0,11BR0,4AV0,7BS0,5JU0,2Q0,4AV0"
"126","4Y1,8I1,7V1,1DL0"
"127","11P0,7AT0,1U0,7AT0,3JV0,11JW0,5JU0,3JX0"
"128","7A0,1GW0,8S0"
"129","6Q0,11CI0,12GI0,14BP0,4CL0,7Y0,2Q0"
"130","6AB1,9A1,7AT1"
"131","11G0,4AI0,2S0,14BP0,7AT0,8I0,3JY0,1GW1"
"132","6Q0,11JZ0,12KL0,13U0,14BP0,7Y0,3KM1"
"133","8AT0,11AD0,9Q0,13U0,1KN0"
"134","12KO1,7V1,6Q1"
"135","6Q0,11DU0,4CL0,13BI0,7BS0,4CL0"
"136","8Q0,11AD0,4AI0,14BP0,3KP0,7AY0,6Q0"
"137","11P0,7AF0,1KQ0,6AB0,2Q0"
"138","8Q0,11HV0,14BP0,4AI0,3KR0,1KS0,7AF0"
"139","11HK0,7AT0,13GH0,4A0"
"140","8Q0,11AZ0,12KT0,4CL0,11KU0,1KV0,6I0,7A0"
"141","8A0,4AI0,11W0,13E0,7A0"
"142","8AB0,11AD0,1HQ0,3KW1,12KT0,13KX1"
"143","6Q0,11B0,12AU0,13KY0,4AI0,14BP0,1CH0,7AT0,2Q0"
"144","4AI0,11P0,7AT0,13AH0,12KZ0,13FI1"
"145","6Q0,11LM0,4C0,12LN0,14BP0,1BI0,7O0"
"146","8Q0,11CI0,12GI0,14BP0,13U0,6S0,7Y0,8Q0"
"147","8A0,4AI0,11IR0,12AW0,1ES0,7AT0,4AI0"
"148","8AB0,11HR0,4C0,14BP0,7AF0,1KS0,13EL0"
"149","6Q0,11CI0,13BW0,12M0,3LO0,4AI0,7AF0"
"150","6I0,11FL0,13U0,6I0,2S0,4Y0,3LP0"
"151","6Q0,11KU0,1BJ0,3LQ0,12AW0,2Q0,13E0"
"152","4Y1,8I1,1KY1,1FJ0"
"153","8Q0,11AD0,4CL0,7AF0,4CL0,1AP0"
"154","8A0,11AD0,13BW0,4AV0,14BP0,1EF0,13AH0"
"155","8Q0,11EY0,7AI0,13N0,4Y0,12LR0,8Q0"
"156","6Q0,11W0,4A0,12LS0,13BW0,3LT0,6Q0"
"157","8A0,11CV0,4AF0,12LU0,14BP0,7V0,9Q0,3LV1,4AF0"
"158","8A0,11AZ0,12GI0,4AI0,14BP0,3LW1,13LX0,8A0"
"159","7AI0,11G0,13KY0,4AI0,2AV0,14BP0,7AI0"
"160","12FY1,12LY0"
"161","8A0,11AD0,4C0,14BP0,12GI0,7AT0,1IN0,1KQ0"
"162","2AV1,4C1,7V1,6AB1"
"163","6AT0,11B0,12AU0,4AI0,13LZ0,7Y0,4AI0"
"164","8AT0,11AD0,4AI0,14BP0,12MN0,13FM0,3MO1,7AT0,7AT0"
"165","8A0,11DU0,12AW0,14BP0,7O0,13CY0"
"166","8AT0,11AD0,4AI0,1BV0,14BP0,7AF0,3MP1"
"167","1K0,7V0,8I0,12MQ0,11MR0,7V0,4C0,2Q0"
"168","8I1,7Q1,2AB1,3MS1,3MT0"
"169","8A0,11B0,12AE0,4CL0,7A0,4CL0,1CH0"
"170","8A0,11HV0,4CL0,2Q0,4CL0,7AT0,7AT0"
"171","14MU1,4S1,1MV1"
"172","6AB1,2A1,7A1,1CN0"
"173","11G0,1K0,4AI0,7A0,4AI0"
"174","6I0,11B0,13AH0,4C0,7Q0"
"175","8S0,11MW0,14BP0,1MV0,2Q0,13BV0,7V0,7V0"
"176","4V1,8I1,2AV1,7V1,3MX1,1CE1"
"177","8A0,11CM0,7AV0,12MY0,14BP0,6I0,13U0"
"178","1GW0,11MZ0,13BV0"
"179","11P0,7AT0,13NO0,12NP0,4C0,7AT0"
"180","7BS0,11G0,8I0,7BS0,4CL0,1CN0"
"181","7BS0,1BJ0,13FI0,11NQ0,8I0,4C0,1CE0,7BS0,4C0"
"182","8AB0,11IZ0,7AY0,12NR0,14MU0,4Q0,1FM0"
"183","8A0,11AD0,4CL0,14BP0,4CL0,2Q0,1CN0,7AT0"
"184","11NS1,6Q1"
"185","11G1"
"186","8A0,11HV0,7Y0,12AU0,4AI0,13BV0"
"187","6Q0,11AZ0,13E0,1BW0,11CR0,3NT1,13BJ0,7V0"
"188","7Q1,8I1,2Q1,13NU1,1MV1,3NV1"
"189","8A0,11NW0,2AB0,4CL0,9Q0,1AP0"
"190","8Q0,11B0,13E0,7A0,6I0"
"191","8AT0,11L0,7Y0,2Q0,13BZ0,2Q0"
"192","11P1,6AB1"
"193","8A0,11AD0,4AI0,14BP0,7AT0,6I0,1N0"
"194","11NX1"
"195","8AT0,11CI0,4A0,13NY0,8AT0"
"196","11NZ0,7AY0,9AB0,2AB0"
"197","8I1,7AT1,3OP1,3OQ0,9Q1,2Q1,1BQ1"
"198","8A0,11B0,12GI0,13U0,4CL0,7Y0"
"199","7AT0,14BP0,11DM0,4AI0,8I0,1AG1"
"200","4S1,8I1,1DV1,7AV1"
"201","3OR1,7Q1"
"202","6I0,11CI0,4AV0,12GI0,3OS1,13U0,6I0,3OT0"
"203","7Y0,11NZ0,2Q0,14OU0"
"204","11OV0,12CF0,8I1,3OW0,3OX1"
"205","8A0,11HR0,7AT0,4I0,7AT0,3OY0,3OZ1,13E0"
"206","11G0,7O0,1K0,8I0,7O0,7O0"
"207","8A0,11EY0,4AI0,7AF0,11KU0,6Q0"
"208","7A0,11DO0,7A0,14BP0,4AI0,2Q0,8I0,13U0,14BP0,4AI0,3PQ0"
"209","8A0,11W0,4BS0,14BP0,2AB0,9Q0,3PR0,1DR0,13BV0"
"210","8AT0,11FL0,12PS0,14BP0,1IM0,13E0"
"211","7S0,11P0,7S0,4AI0,13KV0,11PT0,8I0,2O0,4AI0,7S0"
"212","8A0,11PU0,13BF0,7A0,12PV0"
"213","8A0,11DX0,13U0,4AI0"
"214","8A0,11B0,4A0"
"215","8Q0,11PW0,13U0,4AI0,7Y0"
"216","8A0,11B0,13FO0,14BP0,2Q0,12PX0,13PY1,4CL0"
"217","6I0,11PZ0,4CL0,12LN0,4CL0,1FM0"
"218","4AY1,13BJ1,6Q1,13QR0"
"219","11G0,4AI0,7AF0,14BP0,13QS0,6AB0"
"220","8A0,11CR0,7A0,12GI0,2AV0,13GR0,12KT0,4CL0"
"221","14QT1,7Q1"
"222","4Y1,13BV1,13QU0,1IN0"
"223","8AT0,11IZ0,7AY0,11B0,13CN0,6Q0"
"224","4C1,6AB1,1H1,2Q1,14BP1,3QV1,3QW1"
"225","8S0,11QX0,12HN0,4AI0,6AB0,1BJ0,7AF0,1F1"
"226","11G0,1DV0,12IJ0,8I0,7AI0"
"227","8A0,11JZ0,13BW0,12QY0,14BP0,7AT0,7AT0"
"228","8I1,7A1,13BJ1,4AI1,1LZ1,1Z0"
"229","7AF0,11QZ0,6Q0,4AI0,3RS0"
"230","12RT1,7BS1,2Q1"
"231","4AY1,6AB1,7V1,14BP1,3RU0"
"232","8S0,11RV0,4C0,7A0,3RW0,4C0,1ES1"
"233","6O0,11RX0,7AF0,1RY0,4I0,1RZ0,7AF0"
"234","8AT0,11RX0,4CL0,12AU0,13ST0,4CL0,6Q0,7A0"
"235","6Q0,11AD0,4CL0,14BP0,7AY0"
"236","14A1,4AI1"
"237","6Q0,11AD0,4AI0,9Q0,7AF0"
"238","8A0,11B0,12HW0,14BP0,4AI0,4AI0"
"239","8A0,11HR0,4AF0,14BP0,13E0,7Q0,1GL0"
"240","6I0,11AD0,4S0,13SU0,7AT0"
"241","8AT0,11DM0,4C0,12SV0,2Q0,1BV0,7V0,7V0"
"242","7Y0,11P0,14BP0,8I1,13BV1,7Y0"
"243","6Q0,12SW0,11SX0,2Q0,14BP0,1HQ0,7AF0"
"244","7Y0,8I0,13BF0,14BP0,2Q0,11SY0,4CL0,7Y0,1CN1"
"245","11G0,1DW0,8I0,14BP0,7AT0,2Q0,7AT0"
"246","14SZ1"
"247","3TU0,1CY1"
"248","8A0,11L0,4C0,13LZ0,14BP0,1TV0,1H0,7V0"
"249","8S1,7AT1,13DR0"
"250","7Q1,8I1,3TW0"
"251","8AT0,11B0,7AF0,14BP0,2Q0,7AF0,4O0"
"252","11G0,7S0,4Y0,7S0"
"253","8AT0,11TX0,4Y0,13KS0,4Y0,7V0"
"254","8AT0,11DU0,4AI0,7V0,14BP0,6I0,2Q0"
"255","11TY0,7O0,7O0,8I0,14BP0,4AI0"
"256","11G1"
"257","8A0,11AD0,4CL0,7Q0,11DX0,13FT0"
"258","8AT0,11IR0,4CL0,2Q0,1H0,6Q0"
"259","11TZ1,8S1,3UV0"
"260","8A0,11B0,12UW0,13UX0,1IM0"
"261","11G1,13JS1,2AB1"
"262","8Q0,4AV0,13N0,11DX0,12UY0,2Q0,4AV0,7Y0"
"263","6I0,11AD0,1UZ0,2Q0,12CJ0,14BP0,10I0,12VW0,7V0"
"264","8AT0,11CV0,4AI0,4AI0"
"265","11G1,1CW0,1DG1,1GL0"
"266","4AY1,6AB1,1IM1,1GX0,3VX0"
"267","8A0,11DX0,4CL0,4CL0,13AG0,7AF0"
"268","6Q0,11VY0,12VZ0,14BP0,13E0,7Q0,14BP0,1KV0"
"269","7AT0,11WX0,4S0,12RT0"
"270","11G0,1BQ0,12X0,8I0,7V0,6AB0,4C0,14BP0,3WY1,13HT1"
"271","8A0,11WZ0,14BP0,13U0,3XY1,1KN0,14BP0,7V0,12VW0,7V0"
"272","8A0,11B0,12LR0,7AI0,8A0"
"273","8AT0,11IR0,12SV0,7Y0,4CL0,2Q0,4CL0"
"274","8Q0,11AD0,12BE0,13EP0,1CH0,4C0,7BS0"
"275","7AY0,11WX0,13ES0,2Q0,11XZ0,3YZ0"
"276","6I0,11ABC0,7Y0,4C0,3ABD1,14BP0,7Y0"
"277","8AT0,11FL0,4AI0,7AT0,8AT0"
"278","6I0,11B0,4AI0,3ABE1,1FT0"
"279","11P1,1ABF0"
"280","8A0,11W0,4CL0,2Q0,13BI0,7AF0"
"281","8I1,7AY1,13CE1,13FM0"
"282","11NZ1,7Y1,4AI1,2Q1"
"283","8S0,11G0,4CL0,7A0,1DV0,2Q0,4CL0"
"284","8A0,11ABG0,12ABH0,13U0,14BP0,4AI0,2Q0,1BV0"
"285","6Q0,11PW0,14BP0,13E0,12ABI0,7BS0,11B0,1AP0,9Q0,4AV0"
"286","8A0,11AD0,13U0,6Q0"
"287","4AV1,6AB1,7A1,13BV0"
"288","2S1,3ABJ0"
"289","8A0,11P0,4C0,7Y0,6Q0,3ABK1,14BP0,7Y0"
"290","11NS1,8I1"
"291","4C1,6I1,8A1,3ABL0,13ABM1"
"292","8AT0,11PW0,12CJ0,4CL0,13FM0,3ABN0"
"293","8A0,11B0,4CL0,12ABO0,1HQ0,4CL0"
"294","7Y0,13BF0,11P0,12X0,14BP0,5JU0,2O0,3ABP0,4CL0"
"295","8AB0,11CI0,7AV0,14MU0,11B0,4Q0,4Q0,7AV0"
"296","6Q0,11SX0,12CT0,5BG0,2Q0,1AP0"
"297","4AI0,6O0,11ABQ0,12AU0,14BP0,2Q0,7AF0"
"298","11G0,5BG0,1H0,8I0,2O0,7Q0,12NP0,7Q0,3ABR0"
"299","11G0,7AT0,14BP0,2Q0,3ABS0,1IN0,7AT0,3ABT0"
"300","8A0,11FL0,12AW0,1CY0,4AI0,1BJ0"
"301","8A0,4A0,11SX0,12QY0,13BW0,2Q0,1CN0"
"302","7AT0,11ABU0,13ES0,9Q0,8I0,4Y0,8I0"
"303","7S0,11ABV0,13N0,14BP0,3ABW0"
"304","12X1,12ABX0"
"305","11ABY0,7O0,5BG0,8I0,11XZ0,13E0,4AI0,2O0,7O0"
"306","8A0,11GU0,2Q0,12FQ0,7AY0,6Q0"
"307","8A0,11AZ0,4CL0,13EL0,12ABZ0,6Q0,2Q0,13PY1,7AT0"
"308","8A0,4C0,11ACD0,7A0,2Q0,3ACE0"
"309","8A0,11NX0,4AF0,1ACF0,7AF0"
"310","4I0,11ACG0,8I0,14BP0,7A0,3ACH0"
"311","7AY0,11ABU0,12ACI0,7AY0,2Q0,13RY0,13CY0,9Q0,1AG0,11ACJ0,3ACK1,6AB0,7AY0"
"312","8AB0,11AD0,12ABZ0,4Q0,7AF0,2Q0,3ACL1"
"313","8AB0,11AD0,7AT0,2Q0,7AT0"
"314","6Q0,11JZ0,13KS0,4Y0,2Q0,14BP0,12VW0,6Q0"
"315","8Q0,11FK0,4AI0,13E0,4AI0,1CH0,3ACM0,4AI0"
"316","5DY0,11ABY0,7AF0,3ACN1"
"317","8A0,11LM0,12FQ0,13CY0,4AV0,6Q0,7Y0"
"318","11ABY1,1ACO0"
"319","11W1,7AI1"
"320","6Q0,11AD0,7S0,4AI0,4AI0,6Q0"
"321","6Q0,11HV0,13U0,12KT0,4CL0"
"322","8A0,4C0,11ACP0,7Y0,14BP0,13U0,2O0,6Q0"
"323","8A0,11B0,4AV0,7AF0,3ACQ1,2Q0,1IN0,4AV0"
"324","6Q0,11B0,13EP0,14BP0,7V0,2Q0"
"325","7Q1,6AB1,4C1,2Q1,1ACR1,1BJ0"
"326","4AI0,11XZ0,1K0,8I0,14BP0,13N0"
"327","4C1,8I1,3ACS0,13ACT1,2Q1,14BP1,1MV1,4C1,1AG0"
"328","11G0,7AY0,13BQ0,11ACU0,4A0,7AY0"
"329","2A1,6AB1,7A1,1BM1"
"330","8Q0,11HV0,4A0,4A0,3ACV1,12KT0"
"331","4AF1,1ES1,7BS1,10A1,3ACW0"
"332","8S0,11ACX0,4AI0,14BP0,7A0,13U0,7A0"
"333","1GW0,8I0,3ACY1,11MZ0,2O0,1CQ0"
"334","8S0,11P0,4I0,12SW0,7AF0,6AB0,1CY0"
"335","4Y1,6AB1,1AP1,1BN0"
"336","7AY0,11WX0,13FM0,7AY0,1KV0,8I0,3ACZ1"
"337","12KT1,7Q1,3ADE0,6I1,4C1"
"338","8A0,11AD0,14BP0,1CQ0"
"339","11ACX0,1MV0,8I0,14BP0,2Q0,4AI0,7AT0"
"340","7Y0,11G0,5BG0,7Y0,1BZ0,2O0,12ADF0,3ADG1,7Y0"
"341","8A0,11B0,12AE0,4AV0,9Q0,7Y0"
"342","7Q1,1DL1,3ADH1,2Q1"
"343","8Q0,11CI0,12GI0,4AI0,1CN0,6I0,2Q0"
"344","8Q0,11AD0,4CL0,12CJ0,13E0,7A0,4CL0,7A0"
"345","8AT0,4A0,14BP0,7AF0,2Q0,4A0"
"346","2AV1,7AV1,3ADI0,3ADJ1"
"347","7AV0,11ADK0,9AB0,11ADL0"
"348","6Q0,11DX0,12SV0,13E0,3ADM1,14BP0"
"349","8AT0,11AD0,4CL0,7A0,1LZ0,7A0"
"350","4AI0,8S0,11ADN0,1CH0,3ADO1,2Q0,6AB0"
"351","8A0,11B0,4CL0,4CL0,14BP0,6Q0,2Q0"
"352","6I0,11WZ0,12ADP0,13BW0,13ADQ1,7Q0,4Y0,10A0"
"353","7Y0,11NX0,5DY0,8I0,7Y0,12ADR0,14BP0,2Q0,7Y0,13DL0,4AI0,3ADS0"
"354","8A0,7AY0,11ADT0,13HJ0,7AY0"
"355","6I0,11HV0,4Q0,14BP0,7AT0,13CH0"
"356","11ADU0,7AT0,1CQ0,14BP0,7AT0"
"357","8A0,11B0,12ADV0,4CL0,2Q0,7Y0,6I0,3ADW1"
"358","8S0,11B0,12ADX0,4CL0,14BP0,7AY0,13NY0,7AY0"
"359","8A0,7AF0,4AI0,2Q0,4AI0"
"360","6S0,11ADY0,13U0,14BP0,1HQ0"
"361","12ADZ1,1LZ0,2Q1"
"362","6Q0,11AEF0,12AEG0,4CL0,1ABF0,14BP0,7A0,13FM0,4CL0"
"363","8AB0,11AD0,4AI0,14BP0,13UZ0,1BJ0,2Q0"
"364","8S1,7AF1,3AEH0,13FR0"
"365","8A0,11CI0,7AT0,1K0,13BV0"
"366","6S0,11AD0,12CU0,13FM0,14BP0,7AT0,4AV0"
"367","8A0,11B0,13U0,4AI0,12AU0,7AF0,3AEI0,7AF0"
"368","4CL0,11G0,1U0,7BS0,4CL0,11XZ0,2Q0"
"369","8Q0,11FK0,12CT0,4CL0,2Q0,14BP0,1BZ0,7O0"
"370","7Q1,6AB1,3AEJ1,3AEK0,9Q1,3AEL0"
"371","4C1,6AB1,2S1,1KN0,1IY0"
"372","6Q0,11LM0,4CL0,1K0"
"373","8A0,11CV0,14BP0,4CL0,12AEM0,13U0,7AF0"
"374","7AI1,3AEN1,1AEO1"
"375","8A0,11B0,7BS0,13AEP0,3AEQ1,3AER0,4AF0,2Q0"
"376","11G0,1MV0,14CS0,4S0,13EP0"
"377","4Y1,12AES1"
"378","11P0,1GW0,3AET1,7A0,8I0,3AEU1,7A0"
"379","7AT0,11ADK0,3AEV1,7AT0,3AEW0,4AI0,1K1"
"380","11P0,1BQ0,3AEX1,14BP0,4CL0,2Q0,4CL0,1DV0,9Q0,13FT1"
"381","8A0,11B0,13BZ0,4CL0,2AB0"
"382","8Q0,4AI0,7O0,14BP0,4AI0"
"383","6I0,11HV0,4CL0,12AEY0,1HQ0,2Q0,7Q0"
"384","11P1"
"385","7AV0,11G0,1MV0,3AEZ1"
"386","4AB1,13N1,7AT1,1KQ1"
"387","7AV0,11ABV0,12RT0,7AV0,13E0,4AT0,3AFG1,2Q0,4AT0"
"388","8AT0,11B0,4A0,7AF0,3AFH1"
"389","8A0,11L0,14BP0,7AV0,1N0"
"390","8Q0,11B0,2AV0,12QY0,5FU0,7AY0"
"391","1DW0,2Q0,4CL0,11AFI0,13E0"
"392","8AT0,11B0,13U0,14BP0,4A0,2Q0"
"393","8S1,4C1,3AFJ0"
"394","6I0,11AD0,13N0,14BP0,1CE0,7S0,4AI0"
"395","6Q0,11AD0,4I0,12CJ0,7AT0,1EF0"
"396","4AI0,1CQ0,7AY0,7AY0"
"397","8A0,11AFK0,12HW0,13BJ0,4Y0,7V0,2A0"
"398","8A0,11AD0,6Q0"
"399","2S1,1GX1"
"400","11G0,4Y0,7V0,13CE0,12IJ0,4Y0,13AFL1,6AB0,7V0,8I0"
"401","8A0,11B0,2O0,12CJ0,13U0,4C0"
"402","4AV1,6AB1,1HU0,7AF1,13AFM1,3AFN0,1CY0"
"403","6Q0,4CL0,13FM0,11RX0,6Q0,4CL0"
"404","4Y1,6AB1,7V1,1IM1,3AFO1,9Q1,13JS1"
"405","8A0,11SX0,4AI0,1HQ0,14BP0,12AFP0"
"406","8A0,11L0,4CL0,11B0,7AI0,3AFQ1,6Q0"
"407","5BG0,1DW0,11WX0,3AFR0,12AFS0,13AFT0,3AFU0"
"408","8S0,11HR0,7A0,12AFV0,1BJ0,3AFW1,6AB0,1AFX1"
"409","8A0,11AFY0,4C0,13CH0,7V0,1K0"
"410","8A0,11AFZ0,4AI0,14BP0,7A0,3AGH1"
"411","6Q0,11AGI0,4AI0,12AGJ0,7AB0"
"412","8I1,7V1,1CE1,1FI0,2Q1,3AGK1"
"413","8AB0,11BR0,7AT0,13E0"
"414","8A0,11W0,4CL0,7Y0,12AE0,14BP0,13U0,4CL0"
"415","8Q0,11AEF0,4AI0,12AW0,13EP0,14BP0,7Q0,3AGL0,7Q0"
"416","4AI0,11NZ0,9I0,2Q0"
"417","1DV0,11AGM0,14BP0,3AGN0,6AB0,7AV0,2Q0,4AI0,7AV0"
"418","8AT0,11IR0,14BP0,12FQ0,13E0,4AI0,7AV0,2Q0,4AI0"
"419","8I1,4CL1,2S1,1DW1,3AGO0,7AT1"
"420","1AJ1,7AT1,4AI1,9Q1,10A1"
